,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,aisam-ul-haq-qureshi,A. Qureshi,ameur-ben-hassen,A. Ben Hassen,tunis_challenger,1st Round Qualifying,2.0,f,100,0,01:06:00,109.0,2.0,12.0,6.0,0.0,0.0,291.0,1.0,3.0,30.0,44.0,26.0,30.0,7.0,14.0,0.0,1.0,9.0,190.0,18.0,43.0,14.0,22.0,4.0,10.0,9.0,33.0,44.0,32.0,65.0,65.0,t,f,WC,t,Tunisia,0.0,6.0,12.0,0.0,214.0,0.0,1.0,43.0,65.0,25.0,43.0,8.0,22.0,6.0,10.0,9.0,174.0,4.0,30.0,7.0,14.0,1.0,1.0,9.0,33.0,65.0,11.0,44.0,44.0,f,f,f,Tunisia
1,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,aisam-ul-haq-qureshi,A. Qureshi,marius-copil,M. Copil,tunis_challenger,2nd Round Qualifying,3.0,f,100,1,02:05:00,177.0,1.0,13.0,15.0,0.0,0.0,246.0,1.0,3.0,53.0,86.0,37.0,53.0,15.0,33.0,3.0,7.0,14.0,132.0,9.0,49.0,23.0,42.0,3.0,8.0,14.0,52.0,86.0,32.0,91.0,84.0,f,f,WC,t,Tunisia,2.0,15.0,13.0,0.0,263.0,8.0,4.0,49.0,91.0,40.0,49.0,19.0,42.0,5.0,8.0,14.0,170.0,16.0,53.0,18.0,33.0,4.0,7.0,14.0,59.0,91.0,34.0,86.0,93.0,t,f,f,Tunisia
2,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,andrey-kumantsov,A. Kumantsov,walter-trusendi,W. Trusendi,tunis_challenger,2nd Round Qualifying,3.0,f,100,1,02:55:00,225.0,1.0,15.0,18.0,0.0,0.0,220.0,2.0,7.0,81.0,119.0,46.0,81.0,16.0,38.0,10.0,17.0,17.0,156.0,38.0,88.0,8.0,18.0,5.0,13.0,16.0,62.0,119.0,46.0,106.0,108.0,f,f,7,f,Tunisia,2.0,18.0,15.0,0.0,262.0,1.0,3.0,88.0,106.0,50.0,88.0,10.0,18.0,8.0,13.0,16.0,183.0,35.0,81.0,22.0,38.0,7.0,17.0,17.0,60.0,106.0,57.0,119.0,117.0,t,f,t,Tunisia
3,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,arnaud-clement,A. Clement,peter-torebko,P. Torebko,tunis_challenger,Round of 32,2.0,f,100,3,01:39:00,141.0,0.0,9.0,13.0,0.0,1.0,275.0,0.0,4.0,34.0,60.0,25.0,34.0,15.0,26.0,0.0,1.0,10.0,62.0,8.0,45.0,16.0,36.0,0.0,6.0,11.0,40.0,60.0,24.0,81.0,64.0,f,f,2,f,Tunisia,2.0,13.0,9.0,1.0,291.0,5.0,8.0,45.0,81.0,37.0,45.0,20.0,36.0,6.0,6.0,11.0,178.0,9.0,34.0,11.0,26.0,1.0,1.0,10.0,57.0,81.0,20.0,60.0,77.0,t,f,t,Tunisia
4,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,benjamin-balleret,B. Balleret,boris-pashanski,B. Pashanski,tunis_challenger,3rd Round Qualifying,2.0,f,100,2,00:53:00,84.0,0.0,3.0,12.0,0.0,0.0,157.0,2.0,2.0,31.0,49.0,16.0,31.0,3.0,18.0,3.0,9.0,8.0,124.0,5.0,14.0,5.0,21.0,1.0,2.0,7.0,19.0,49.0,10.0,35.0,29.0,f,f,1,f,Tunisia,2.0,12.0,3.0,0.0,264.0,0.0,1.0,14.0,35.0,9.0,14.0,16.0,21.0,1.0,2.0,7.0,273.0,15.0,31.0,15.0,18.0,6.0,9.0,8.0,25.0,35.0,30.0,49.0,55.0,t,f,t,Tunisia
5,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,benjamin-balleret,B. Balleret,james-mcgee,J. McGee,tunis_challenger,2nd Round Qualifying,2.0,f,100,1,01:15:00,111.0,2.0,12.0,7.0,0.0,0.0,269.0,0.0,2.0,29.0,58.0,21.0,29.0,17.0,29.0,2.0,3.0,10.0,166.0,13.0,36.0,8.0,17.0,3.0,6.0,9.0,38.0,58.0,21.0,53.0,59.0,t,f,1,t,Tunisia,0.0,7.0,12.0,0.0,252.0,2.0,1.0,36.0,53.0,23.0,36.0,9.0,17.0,3.0,6.0,9.0,112.0,8.0,29.0,12.0,29.0,1.0,3.0,10.0,32.0,53.0,20.0,58.0,52.0,f,f,f,Tunisia
6,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,boris-pashanski,B. Pashanski,lamine-ouahab,L. Ouahab,tunis_challenger,Round of 32,2.0,f,100,3,01:19:00,99.0,0.0,5.0,12.0,0.0,0.0,205.0,1.0,5.0,23.0,51.0,16.0,23.0,11.0,28.0,2.0,6.0,9.0,54.0,3.0,20.0,11.0,28.0,0.0,0.0,8.0,27.0,51.0,14.0,48.0,41.0,f,f,Q,f,Tunisia,2.0,12.0,5.0,0.0,291.0,4.0,1.0,20.0,48.0,17.0,20.0,17.0,28.0,0.0,0.0,8.0,202.0,7.0,23.0,17.0,28.0,4.0,6.0,9.0,34.0,48.0,24.0,51.0,58.0,t,f,t,Tunisia
7,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,boris-pashanski,B. Pashanski,morgan-phillips,M. Phillips,tunis_challenger,2nd Round Qualifying,2.0,f,100,1,01:02:00,87.0,2.0,12.0,3.0,0.0,0.0,306.0,3.0,1.0,22.0,43.0,18.0,22.0,15.0,21.0,1.0,1.0,8.0,207.0,14.0,28.0,9.0,16.0,4.0,9.0,7.0,33.0,43.0,23.0,44.0,56.0,t,f,5,t,Tunisia,0.0,3.0,12.0,0.0,199.0,1.0,2.0,28.0,44.0,14.0,28.0,7.0,16.0,5.0,9.0,7.0,47.0,4.0,22.0,6.0,21.0,0.0,1.0,8.0,21.0,44.0,10.0,43.0,31.0,f,f,f,Tunisia
8,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,christophe-rochus,C. Rochus,marsel-ilhan,M. Ilhan,tunis_challenger,Round of 16,3.0,f,100,4,02:02:00,180.0,1.0,13.0,14.0,0.0,0.0,217.0,4.0,4.0,52.0,90.0,33.0,52.0,15.0,38.0,6.0,12.0,14.0,176.0,19.0,50.0,22.0,40.0,5.0,11.0,13.0,48.0,90.0,41.0,90.0,89.0,f,f,8,t,Tunisia,2.0,14.0,13.0,0.0,228.0,6.0,2.0,50.0,90.0,31.0,50.0,18.0,40.0,6.0,11.0,13.0,190.0,19.0,52.0,23.0,38.0,6.0,12.0,14.0,49.0,90.0,42.0,90.0,91.0,t,f,f,Tunisia
9,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,christophe-rochus,C. Rochus,thierry-ascione,T. Ascione,tunis_challenger,Round of 32,2.0,f,100,3,01:11:00,105.0,2.0,12.0,6.0,0.0,0.0,309.0,5.0,1.0,25.0,47.0,21.0,25.0,15.0,22.0,0.0,0.0,9.0,160.0,14.0,36.0,11.0,22.0,3.0,8.0,9.0,36.0,47.0,25.0,58.0,61.0,t,f,8,t,Tunisia,0.0,6.0,12.0,0.0,243.0,5.0,1.0,36.0,58.0,22.0,36.0,11.0,22.0,5.0,8.0,9.0,48.0,4.0,25.0,7.0,22.0,0.0,0.0,9.0,33.0,58.0,11.0,47.0,44.0,f,f,f,Tunisia
10,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,daniel-brands,D. Brands,fred-gil,F. Gil,tunis_challenger,Semi-Finals,2.0,f,100,6,01:20:00,124.0,2.0,13.0,7.0,1.0,1.0,309.0,8.0,1.0,43.0,65.0,35.0,43.0,12.0,22.0,2.0,2.0,10.0,138.0,9.0,32.0,13.0,27.0,2.0,5.0,9.0,47.0,65.0,22.0,59.0,69.0,t,f,4,t,Tunisia,0.0,7.0,13.0,0.0,254.0,1.0,2.0,32.0,59.0,23.0,32.0,14.0,27.0,3.0,5.0,9.0,64.0,8.0,43.0,10.0,22.0,0.0,2.0,10.0,37.0,59.0,18.0,65.0,55.0,f,f,f,Tunisia
11,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,daniel-brands,D. Brands,jose-acasuso,J. Acasuso,tunis_challenger,Finals,2.0,f,100,7,01:34:00,124.0,0.0,7.0,12.0,0.0,0.0,254.0,3.0,2.0,38.0,61.0,27.0,38.0,10.0,23.0,3.0,5.0,9.0,62.0,10.0,38.0,9.0,25.0,0.0,4.0,10.0,37.0,61.0,19.0,63.0,56.0,f,f,4,f,Tunisia,2.0,12.0,7.0,0.0,304.0,8.0,2.0,38.0,63.0,28.0,38.0,16.0,25.0,4.0,4.0,10.0,148.0,11.0,38.0,13.0,23.0,2.0,5.0,9.0,44.0,63.0,24.0,61.0,68.0,t,f,t,Tunisia
12,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,daniel-brands,D. Brands,malek-jaziri,M. Jaziri,tunis_challenger,Round of 16,2.0,f,100,4,01:25:00,119.0,2.0,13.0,7.0,1.0,1.0,338.0,11.0,0.0,33.0,50.0,28.0,33.0,13.0,17.0,0.0,0.0,9.0,151.0,13.0,34.0,14.0,35.0,3.0,7.0,10.0,41.0,50.0,27.0,69.0,68.0,t,f,4,t,Tunisia,0.0,7.0,13.0,0.0,242.0,4.0,3.0,34.0,69.0,21.0,34.0,21.0,35.0,4.0,7.0,10.0,39.0,5.0,33.0,4.0,17.0,0.0,0.0,9.0,42.0,69.0,9.0,50.0,51.0,f,f,f,Tunisia
13,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,daniel-brands,D. Brands,nicolas-kiefer,N. Kiefer,tunis_challenger,Round of 32,2.0,f,100,3,01:10:00,104.0,2.0,12.0,6.0,0.0,0.0,331.0,6.0,2.0,27.0,45.0,24.0,27.0,14.0,18.0,1.0,1.0,9.0,159.0,12.0,28.0,14.0,31.0,3.0,8.0,9.0,38.0,45.0,26.0,59.0,64.0,t,f,4,t,Tunisia,0.0,6.0,12.0,0.0,220.0,2.0,7.0,28.0,59.0,16.0,28.0,17.0,31.0,5.0,8.0,9.0,33.0,3.0,27.0,4.0,18.0,0.0,1.0,9.0,33.0,59.0,7.0,45.0,40.0,f,f,f,Tunisia
14,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,daniel-brands,D. Brands,vincent-millot,V. Millot,tunis_challenger,Quarter-Finals,3.0,f,100,5,02:09:00,204.0,2.0,18.0,16.0,1.0,1.0,286.0,14.0,0.0,65.0,107.0,44.0,65.0,26.0,42.0,4.0,7.0,16.0,177.0,24.0,64.0,12.0,33.0,4.0,5.0,17.0,70.0,107.0,36.0,97.0,106.0,t,f,4,f,Tunisia,1.0,16.0,18.0,0.0,271.0,3.0,1.0,64.0,97.0,40.0,64.0,21.0,33.0,1.0,5.0,17.0,131.0,21.0,65.0,16.0,42.0,3.0,7.0,16.0,61.0,97.0,37.0,107.0,98.0,f,f,t,Tunisia
15,2010-04-26,2010-05-02,Tunisia,Clay,125000.0,$,2010,daniel-munoz-de-la-nava,D. Munoz de la Nava,edouard-roger-vasselin,E. Roger-Vasselin,tunis_challenger,Round of 16,2.0,f,100,4,01:25:00,114.0,0.0,5.0,12.0,0.0,0.0,189.0,2.0,1.0,38.0,54.0,19.0,38.0,5.0,16.0,4.0,9.0,8.0,146.0,11.0,38.0,12.0,22.0,2.0,5.0,9.0,24.0,54.0,23.0,60.0,47.0,f,f,,f,Tunisia,2.0,12.0,5.0,0.0,261.0,6.0,1.0,38.0,60.0,27.0,38.0,10.0,22.0,3.0,5.0,9.0,237.0,19.0,38.0,11.0,16.0,5.0,9.0,8.0,37.0,60.0,30.0,54.0,67.0,t,f,t,Tunisia
