,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2015-09-21,2015-09-27,Romania,Clay,42500.0,€,2015,adrian-ungur,A. Ungur,dusan-lajovic,D. Lajovic,sibiu_challenger,Quarter-Finals,3.0,f,100,5,02:01:00,184.0,2.0,14.0,13.0,0.0,0.0,227.0,1.0,6.0,56.0,95.0,37.0,56.0,15.0,39.0,11.0,15.0,13.0,169.0,27.0,58.0,14.0,31.0,5.0,12.0,14.0,52.0,95.0,41.0,89.0,93.0,t,f,,t,Romania,1.0,13.0,14.0,0.0,238.0,1.0,0.0,58.0,89.0,31.0,58.0,17.0,31.0,7.0,12.0,14.0,153.0,19.0,56.0,24.0,39.0,4.0,15.0,13.0,48.0,89.0,43.0,95.0,91.0,f,f,f,Romania
1,2015-09-21,2015-09-27,Romania,Clay,42500.0,€,2015,adrian-ungur,A. Ungur,maxime-tabatruong,M. Tabatruong,sibiu_challenger,Round of 32,3.0,f,100,3,01:56:00,178.0,2.0,15.0,10.0,0.0,0.0,270.0,4.0,4.0,48.0,78.0,31.0,48.0,18.0,30.0,2.0,4.0,12.0,164.0,25.0,57.0,23.0,43.0,5.0,17.0,13.0,49.0,78.0,48.0,100.0,97.0,t,f,,t,Romania,1.0,10.0,15.0,0.0,222.0,5.0,4.0,57.0,100.0,32.0,57.0,20.0,43.0,12.0,17.0,13.0,141.0,17.0,48.0,12.0,30.0,2.0,4.0,12.0,52.0,100.0,29.0,78.0,81.0,f,f,f,Romania
2,2015-09-21,2015-09-27,Romania,Clay,42500.0,€,2015,adrian-ungur,A. Ungur,pere-riba,P. Riba,sibiu_challenger,Finals,3.0,f,100,7,01:57:00,188.0,2.0,16.0,15.0,0.0,0.0,265.0,4.0,2.0,72.0,98.0,49.0,72.0,11.0,26.0,7.0,10.0,15.0,158.0,18.0,62.0,15.0,28.0,4.0,8.0,16.0,60.0,98.0,33.0,90.0,93.0,t,f,,t,Romania,1.0,15.0,16.0,0.0,270.0,9.0,0.0,62.0,90.0,44.0,62.0,13.0,28.0,4.0,8.0,16.0,140.0,23.0,72.0,15.0,26.0,3.0,10.0,15.0,57.0,90.0,38.0,98.0,95.0,f,f,f,Romania
3,2015-09-21,2015-09-27,Romania,Clay,42500.0,€,2015,adrian-ungur,A. Ungur,petru-alexandru-luncanu,P. Luncanu,sibiu_challenger,Semi-Finals,2.0,f,100,6,01:01:00,94.0,2.0,12.0,2.0,0.0,0.0,277.0,2.0,1.0,32.0,47.0,20.0,32.0,9.0,15.0,3.0,4.0,7.0,275.0,24.0,38.0,6.0,9.0,6.0,10.0,7.0,29.0,47.0,30.0,47.0,59.0,t,f,,t,Romania,0.0,2.0,12.0,0.0,163.0,0.0,2.0,38.0,47.0,14.0,38.0,3.0,9.0,4.0,10.0,7.0,117.0,12.0,32.0,6.0,15.0,1.0,4.0,7.0,17.0,47.0,18.0,47.0,35.0,f,f,f,Romania
4,2015-09-21,2015-09-27,Romania,Clay,42500.0,€,2015,adrian-ungur,A. Ungur,tristan-lamasine,T. Lamasine,sibiu_challenger,Round of 16,2.0,f,100,4,01:21:00,126.0,2.0,12.0,8.0,0.0,0.0,300.0,2.0,5.0,38.0,59.0,31.0,38.0,12.0,21.0,0.0,0.0,10.0,133.0,10.0,47.0,14.0,20.0,2.0,9.0,10.0,43.0,59.0,24.0,67.0,67.0,t,f,,t,Romania,0.0,8.0,12.0,0.0,262.0,6.0,3.0,47.0,67.0,37.0,47.0,6.0,20.0,7.0,9.0,10.0,61.0,7.0,38.0,9.0,21.0,0.0,0.0,10.0,43.0,67.0,16.0,59.0,59.0,f,f,f,Romania
5,2015-09-21,2015-09-27,Romania,Clay,42500.0,€,2015,alessandro-giannessi,A. Giannessi,tristan-lamasine,T. Lamasine,sibiu_challenger,Round of 32,3.0,f,100,3,01:54:00,175.0,1.0,14.0,15.0,0.0,0.0,267.0,1.0,0.0,61.0,84.0,41.0,61.0,11.0,23.0,3.0,6.0,14.0,200.0,13.0,56.0,20.0,35.0,3.0,3.0,15.0,52.0,84.0,33.0,91.0,85.0,f,f,,t,Romania,2.0,15.0,14.0,0.0,263.0,3.0,2.0,56.0,91.0,43.0,56.0,15.0,35.0,0.0,3.0,15.0,156.0,20.0,61.0,12.0,23.0,3.0,6.0,14.0,58.0,91.0,32.0,84.0,90.0,t,f,f,Romania
6,2015-09-21,2015-09-27,Romania,Clay,42500.0,€,2015,alexandru-catalin-marasin,A. Marasin,riccardo-sinicropi,R. Sinicropi,sibiu_challenger,2nd Round Qualifying,2.0,f,100,1,00:57:00,104.0,0.0,7.0,12.0,0.0,0.0,248.0,5.0,8.0,26.0,56.0,21.0,26.0,14.0,30.0,1.0,3.0,9.0,28.0,7.0,38.0,1.0,10.0,0.0,0.0,10.0,35.0,56.0,8.0,48.0,43.0,f,f,WC,f,Romania,2.0,12.0,7.0,0.0,353.0,2.0,0.0,38.0,48.0,31.0,38.0,9.0,10.0,0.0,0.0,10.0,161.0,5.0,26.0,16.0,30.0,2.0,3.0,9.0,40.0,48.0,21.0,56.0,61.0,t,f,t,Romania
7,2015-09-21,2015-09-27,Romania,Clay,42500.0,€,2015,andrei-stefan-apostol,A. Apostol,dusan-lajovic,D. Lajovic,sibiu_challenger,Round of 16,1.0,f,100,4,00:08:00,15.0,0.0,0.0,3.0,0.0,0.0,99.0,0.0,0.0,7.0,10.0,2.0,7.0,0.0,3.0,0.0,2.0,2.0,25.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,10.0,1.0,5.0,3.0,f,t,LL,f,Romania,1.0,3.0,0.0,0.0,355.0,0.0,0.0,4.0,5.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,371.0,5.0,7.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,8.0,10.0,12.0,t,t,t,Romania
8,2015-09-21,2015-09-27,Romania,Clay,42500.0,€,2015,andrei-stefan-apostol,A. Apostol,johann-willems,J. Willems,sibiu_challenger,2nd Round Qualifying,2.0,f,100,1,01:07:00,113.0,2.0,11.0,6.0,1.0,1.0,279.0,2.0,2.0,31.0,56.0,24.0,31.0,15.0,25.0,4.0,5.0,8.0,189.0,12.0,30.0,14.0,27.0,3.0,5.0,8.0,39.0,56.0,26.0,57.0,65.0,t,t,6,t,Romania,0.0,6.0,11.0,0.0,221.0,3.0,5.0,30.0,57.0,18.0,30.0,13.0,27.0,2.0,5.0,8.0,95.0,7.0,31.0,10.0,25.0,1.0,5.0,8.0,31.0,57.0,17.0,56.0,48.0,f,t,f,Romania
9,2015-09-21,2015-09-27,Romania,Clay,42500.0,€,2015,andrei-stefan-apostol,A. Apostol,marc-giner,M. Giner,sibiu_challenger,Round of 32,3.0,f,100,3,01:52:00,171.0,2.0,14.0,14.0,0.0,0.0,249.0,2.0,0.0,46.0,86.0,30.0,46.0,23.0,40.0,5.0,9.0,14.0,169.0,23.0,61.0,11.0,24.0,4.0,7.0,14.0,53.0,86.0,34.0,85.0,87.0,t,f,LL,t,Romania,1.0,14.0,14.0,0.0,256.0,0.0,3.0,61.0,85.0,38.0,61.0,13.0,24.0,3.0,7.0,14.0,150.0,16.0,46.0,17.0,40.0,4.0,9.0,14.0,51.0,85.0,33.0,86.0,84.0,f,f,f,Romania
10,2015-09-21,2015-09-27,Romania,Clay,42500.0,€,2015,calvin-hemery-,C. Hemery,gianluca-mager,G. Mager,sibiu_challenger,Round of 16,3.0,f,100,4,01:33:00,146.0,1.0,11.0,15.0,0.0,0.0,256.0,8.0,8.0,40.0,70.0,33.0,40.0,12.0,30.0,2.0,5.0,13.0,80.0,10.0,46.0,11.0,30.0,1.0,7.0,13.0,45.0,70.0,21.0,76.0,66.0,f,f,6,t,Romania,2.0,15.0,11.0,0.0,298.0,5.0,1.0,46.0,76.0,36.0,46.0,19.0,30.0,6.0,7.0,13.0,161.0,7.0,40.0,18.0,30.0,3.0,5.0,13.0,55.0,76.0,25.0,70.0,80.0,t,f,f,Romania
11,2015-09-21,2015-09-27,Romania,Clay,42500.0,€,2015,calvin-hemery-,C. Hemery,steven-diez,S. Diez,sibiu_challenger,Round of 32,2.0,f,100,3,01:45:00,148.0,2.0,13.0,10.0,1.0,1.0,265.0,4.0,5.0,37.0,73.0,28.0,37.0,21.0,36.0,4.0,6.0,11.0,156.0,20.0,55.0,10.0,20.0,3.0,7.0,11.0,49.0,73.0,30.0,75.0,79.0,t,f,6,t,Romania,0.0,10.0,13.0,0.0,258.0,0.0,1.0,55.0,75.0,35.0,55.0,10.0,20.0,4.0,7.0,11.0,117.0,9.0,37.0,15.0,36.0,2.0,6.0,11.0,45.0,75.0,24.0,73.0,69.0,f,f,f,Romania
