,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,alexander-kudryavtsev,A. Kudryavtsev,kenny-de-schepper,K. De Schepper,cherbourg_challenger,Round of 32,1.0,f,100,3,00:31:00,52.0,0.0,3.0,6.0,0.0,0.0,258.0,4.0,0.0,15.0,24.0,9.0,15.0,5.0,9.0,0.0,1.0,4.0,62.0,4.0,18.0,4.0,10.0,0.0,0.0,5.0,14.0,24.0,8.0,28.0,22.0,f,t,5,f,France,1.0,6.0,3.0,0.0,307.0,6.0,1.0,18.0,28.0,14.0,18.0,6.0,10.0,0.0,0.0,5.0,209.0,6.0,15.0,4.0,9.0,1.0,1.0,4.0,20.0,28.0,10.0,24.0,30.0,t,t,t,France
1,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,alexandre-penaud,A. Penaud,jan-mertl,J. Mertl,cherbourg_challenger,1st Round Qualifying,2.0,f,100,0,00:59:00,107.0,0.0,6.0,12.0,0.0,0.0,233.0,5.0,2.0,33.0,61.0,22.0,33.0,12.0,28.0,5.0,8.0,9.0,50.0,4.0,33.0,5.0,13.0,0.0,2.0,9.0,34.0,61.0,9.0,46.0,43.0,f,f,,f,France,2.0,12.0,6.0,0.0,328.0,6.0,0.0,33.0,46.0,29.0,33.0,8.0,13.0,2.0,2.0,9.0,161.0,11.0,33.0,16.0,28.0,3.0,8.0,9.0,37.0,46.0,27.0,61.0,64.0,t,f,t,France
2,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,alexandre-sidorenko,A. Sidorenko,evgeny-korolev,E. Korolev,cherbourg_challenger,Round of 32,3.0,f,100,3,01:47:00,181.0,2.0,17.0,13.0,0.0,0.0,272.0,18.0,7.0,57.0,94.0,44.0,57.0,16.0,37.0,4.0,7.0,15.0,184.0,17.0,56.0,18.0,31.0,5.0,8.0,15.0,60.0,94.0,35.0,87.0,95.0,t,f,WC,t,France,1.0,13.0,17.0,0.0,243.0,4.0,3.0,56.0,87.0,39.0,56.0,13.0,31.0,3.0,8.0,15.0,143.0,13.0,57.0,21.0,37.0,3.0,7.0,15.0,52.0,87.0,34.0,94.0,86.0,f,f,f,France
3,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,alexandre-sidorenko,A. Sidorenko,thomas-schoorel,T. Schoorel,cherbourg_challenger,Round of 16,2.0,f,100,4,01:32:00,138.0,0.0,11.0,14.0,0.0,1.0,318.0,13.0,2.0,42.0,64.0,36.0,42.0,14.0,22.0,1.0,2.0,12.0,44.0,6.0,45.0,9.0,29.0,0.0,3.0,12.0,50.0,64.0,15.0,74.0,65.0,f,f,WC,f,France,2.0,14.0,11.0,1.0,318.0,2.0,1.0,45.0,74.0,39.0,45.0,20.0,29.0,3.0,3.0,12.0,108.0,6.0,42.0,8.0,22.0,1.0,2.0,12.0,59.0,74.0,14.0,64.0,73.0,t,f,t,France
4,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,andrea-arnaboldi,A. Arnaboldi,niels-desein,N. Desein,cherbourg_challenger,2nd Round Qualifying,2.0,f,100,1,01:28:00,135.0,0.0,7.0,13.0,0.0,0.0,215.0,5.0,4.0,42.0,80.0,27.0,42.0,14.0,38.0,8.0,12.0,10.0,125.0,4.0,30.0,13.0,25.0,1.0,2.0,10.0,41.0,80.0,17.0,55.0,58.0,f,f,8,f,France,2.0,13.0,7.0,0.0,285.0,8.0,3.0,30.0,55.0,26.0,30.0,12.0,25.0,1.0,2.0,10.0,172.0,15.0,42.0,24.0,38.0,4.0,12.0,10.0,38.0,55.0,39.0,80.0,77.0,t,f,t,France
5,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,andrea-arnaboldi,A. Arnaboldi,yanais-laurent,Y. Laurent,cherbourg_challenger,1st Round Qualifying,2.0,f,100,0,00:56:00,91.0,2.0,12.0,3.0,0.0,0.0,301.0,5.0,1.0,34.0,54.0,27.0,34.0,11.0,20.0,4.0,4.0,8.0,262.0,10.0,22.0,9.0,15.0,4.0,4.0,7.0,38.0,54.0,19.0,37.0,57.0,t,f,8,t,France,0.0,3.0,12.0,0.0,196.0,0.0,0.0,22.0,37.0,12.0,22.0,6.0,15.0,0.0,4.0,7.0,66.0,7.0,34.0,9.0,20.0,0.0,4.0,8.0,18.0,37.0,16.0,54.0,34.0,f,f,f,France
6,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,arnaud-clement,A. Clement,jerzy-janowicz,J. Janowicz,cherbourg_challenger,Round of 32,3.0,f,100,3,02:19:00,199.0,2.0,16.0,13.0,0.0,0.0,257.0,5.0,5.0,65.0,100.0,49.0,65.0,13.0,35.0,6.0,9.0,15.0,136.0,19.0,61.0,20.0,38.0,4.0,17.0,14.0,62.0,100.0,39.0,99.0,101.0,t,f,7,f,France,1.0,13.0,16.0,0.0,249.0,6.0,6.0,61.0,99.0,42.0,61.0,18.0,38.0,13.0,17.0,14.0,141.0,16.0,65.0,22.0,35.0,3.0,9.0,15.0,60.0,99.0,38.0,100.0,98.0,f,f,t,France
7,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,arnaud-clement,A. Clement,martin-fischer,M. Fischer,cherbourg_challenger,Round of 16,2.0,f,100,4,01:50:00,153.0,2.0,14.0,10.0,0.0,0.0,248.0,2.0,2.0,36.0,73.0,24.0,36.0,21.0,37.0,3.0,6.0,12.0,190.0,16.0,45.0,20.0,35.0,5.0,9.0,12.0,45.0,73.0,36.0,80.0,81.0,t,f,7,t,France,0.0,10.0,14.0,0.0,220.0,3.0,4.0,45.0,80.0,29.0,45.0,15.0,35.0,4.0,9.0,12.0,151.0,12.0,36.0,16.0,37.0,3.0,6.0,12.0,44.0,80.0,28.0,73.0,72.0,f,f,f,France
8,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,arnaud-clement,A. Clement,thomas-schoorel,T. Schoorel,cherbourg_challenger,Quarter-Finals,2.0,f,100,5,01:32:00,125.0,0.0,8.0,13.0,0.0,0.0,227.0,1.0,2.0,46.0,72.0,32.0,46.0,8.0,26.0,7.0,11.0,11.0,170.0,3.0,31.0,11.0,22.0,1.0,1.0,10.0,40.0,72.0,14.0,53.0,54.0,f,f,7,f,France,2.0,13.0,8.0,0.0,294.0,10.0,4.0,31.0,53.0,28.0,31.0,11.0,22.0,0.0,1.0,10.0,171.0,14.0,46.0,18.0,26.0,4.0,11.0,11.0,39.0,53.0,32.0,72.0,71.0,t,f,t,France
9,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,chris-eaton,C. Eaton,farrukh-dustov,F. Dustov,cherbourg_challenger,1st Round Qualifying,3.0,f,100,0,01:47:00,166.0,2.0,16.0,12.0,0.0,0.0,280.0,8.0,2.0,52.0,85.0,43.0,52.0,15.0,33.0,3.0,5.0,14.0,163.0,19.0,61.0,12.0,20.0,4.0,9.0,14.0,58.0,85.0,31.0,81.0,89.0,t,f,,t,France,1.0,12.0,16.0,0.0,256.0,1.0,0.0,61.0,81.0,42.0,61.0,8.0,20.0,5.0,9.0,14.0,126.0,9.0,52.0,18.0,33.0,2.0,5.0,14.0,50.0,81.0,27.0,85.0,77.0,f,f,f,France
10,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,chris-eaton,C. Eaton,nicolas-renavand,N. Renavand,cherbourg_challenger,2nd Round Qualifying,3.0,f,100,1,01:37:00,178.0,1.0,14.0,14.0,0.0,0.0,280.0,5.0,0.0,59.0,82.0,40.0,59.0,13.0,23.0,2.0,5.0,14.0,133.0,25.0,66.0,14.0,30.0,3.0,11.0,14.0,53.0,82.0,39.0,96.0,92.0,f,f,,f,France,2.0,14.0,14.0,0.0,264.0,3.0,1.0,66.0,96.0,41.0,66.0,16.0,30.0,8.0,11.0,14.0,156.0,19.0,59.0,10.0,23.0,3.0,5.0,14.0,57.0,96.0,29.0,82.0,86.0,t,f,t,France
11,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,daniel-evans,D. Evans,fabrice-martin,F. Martin,cherbourg_challenger,2nd Round Qualifying,2.0,f,100,1,02:00:00,196.0,2.0,14.0,12.0,2.0,2.0,326.0,7.0,2.0,48.0,71.0,42.0,48.0,15.0,23.0,0.0,0.0,12.0,90.0,22.0,86.0,25.0,39.0,0.0,18.0,12.0,57.0,71.0,47.0,125.0,104.0,t,f,6,t,France,0.0,12.0,14.0,0.0,295.0,20.0,4.0,86.0,125.0,64.0,86.0,14.0,39.0,18.0,18.0,12.0,48.0,6.0,48.0,8.0,23.0,0.0,0.0,12.0,78.0,125.0,14.0,71.0,92.0,f,f,f,France
12,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,daniel-evans,D. Evans,lucas-szewczyk,L. Szewczyk,cherbourg_challenger,1st Round Qualifying,2.0,f,100,0,01:04:00,116.0,2.0,12.0,8.0,0.0,0.0,314.0,4.0,1.0,33.0,57.0,27.0,33.0,17.0,24.0,2.0,2.0,10.0,138.0,12.0,36.0,8.0,23.0,2.0,4.0,10.0,44.0,57.0,20.0,59.0,64.0,t,f,6,t,France,0.0,8.0,12.0,0.0,274.0,2.0,1.0,36.0,59.0,24.0,36.0,15.0,23.0,2.0,4.0,10.0,47.0,6.0,33.0,7.0,24.0,0.0,2.0,10.0,39.0,59.0,13.0,57.0,52.0,f,f,f,France
13,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,daniel-evans,D. Evans,philipp-oswald,P. Oswald,cherbourg_challenger,3rd Round Qualifying,2.0,f,100,2,01:18:00,136.0,2.0,12.0,7.0,0.0,0.0,297.0,5.0,2.0,46.0,70.0,34.0,46.0,13.0,24.0,8.0,8.0,9.0,183.0,12.0,48.0,14.0,18.0,3.0,6.0,10.0,47.0,70.0,26.0,66.0,73.0,t,f,6,t,France,0.0,7.0,12.0,0.0,242.0,4.0,2.0,48.0,66.0,36.0,48.0,4.0,18.0,3.0,6.0,10.0,72.0,12.0,46.0,11.0,24.0,0.0,8.0,9.0,40.0,66.0,23.0,70.0,63.0,f,f,f,France
14,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,daniel-evans,D. Evans,pierre-hugues-herbert,P. Herbert,cherbourg_challenger,Round of 32,2.0,f,100,3,01:04:00,104.0,0.0,3.0,12.0,0.0,0.0,189.0,0.0,2.0,30.0,49.0,20.0,30.0,4.0,19.0,4.0,8.0,7.0,71.0,4.0,31.0,14.0,24.0,0.0,1.0,8.0,24.0,49.0,18.0,55.0,42.0,f,f,Q,f,France,2.0,12.0,3.0,0.0,297.0,13.0,1.0,31.0,55.0,27.0,31.0,10.0,24.0,1.0,1.0,8.0,219.0,10.0,30.0,15.0,19.0,4.0,8.0,7.0,37.0,55.0,25.0,49.0,62.0,t,f,t,France
15,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,david-goffin,D. Goffin,stefano-galvani,S. Galvani,cherbourg_challenger,Round of 32,2.0,f,100,3,01:04:00,94.0,2.0,12.0,4.0,0.0,0.0,279.0,3.0,1.0,30.0,50.0,24.0,30.0,10.0,20.0,5.0,6.0,8.0,272.0,14.0,26.0,10.0,18.0,5.0,5.0,8.0,34.0,50.0,24.0,44.0,58.0,t,f,8,t,France,0.0,4.0,12.0,0.0,185.0,0.0,1.0,26.0,44.0,12.0,26.0,8.0,18.0,0.0,5.0,8.0,99.0,6.0,30.0,10.0,20.0,1.0,6.0,8.0,20.0,44.0,16.0,50.0,36.0,f,f,f,France
16,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,david-goffin,D. Goffin,uladzimir-ignatik,U. Ignatik,cherbourg_challenger,Quarter-Finals,2.0,f,100,5,01:36:00,135.0,0.0,5.0,12.0,0.0,0.0,204.0,2.0,4.0,42.0,70.0,25.0,42.0,10.0,28.0,2.0,6.0,8.0,97.0,10.0,39.0,13.0,26.0,1.0,10.0,9.0,35.0,70.0,23.0,65.0,58.0,f,f,8,f,France,2.0,12.0,5.0,0.0,276.0,8.0,4.0,39.0,65.0,29.0,39.0,13.0,26.0,9.0,10.0,9.0,221.0,17.0,42.0,18.0,28.0,4.0,6.0,8.0,42.0,65.0,35.0,70.0,77.0,t,f,t,France
17,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,david-goffin,D. Goffin,yannick-mertens,Y. Mertens,cherbourg_challenger,Round of 16,2.0,f,100,4,00:48:00,83.0,2.0,12.0,2.0,0.0,0.0,313.0,5.0,0.0,19.0,36.0,16.0,19.0,12.0,17.0,0.0,0.0,7.0,269.0,17.0,34.0,10.0,13.0,5.0,7.0,7.0,28.0,36.0,27.0,47.0,55.0,t,f,8,t,France,0.0,2.0,12.0,0.0,172.0,0.0,1.0,34.0,47.0,17.0,34.0,3.0,13.0,2.0,7.0,7.0,45.0,3.0,19.0,5.0,17.0,0.0,0.0,7.0,20.0,47.0,8.0,36.0,28.0,f,f,f,France
18,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,david-rice,D. Rice,gregoire-burquier,G. Burquier,cherbourg_challenger,2nd Round Qualifying,2.0,f,100,1,01:40:00,162.0,2.0,14.0,11.0,1.0,1.0,273.0,11.0,6.0,55.0,89.0,40.0,55.0,17.0,34.0,6.0,8.0,12.0,193.0,18.0,50.0,13.0,23.0,3.0,4.0,12.0,57.0,89.0,31.0,73.0,88.0,t,f,,t,France,0.0,11.0,14.0,0.0,248.0,0.0,2.0,50.0,73.0,32.0,50.0,10.0,23.0,1.0,4.0,12.0,118.0,15.0,55.0,17.0,34.0,2.0,8.0,12.0,42.0,73.0,32.0,89.0,74.0,f,f,f,France
19,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,david-rice,D. Rice,illya-marchenko,I. Marchenko,cherbourg_challenger,3rd Round Qualifying,2.0,f,100,2,00:48:00,82.0,0.0,3.0,12.0,0.0,0.0,180.0,0.0,6.0,30.0,48.0,14.0,30.0,7.0,18.0,1.0,6.0,8.0,28.0,4.0,26.0,1.0,8.0,0.0,1.0,7.0,21.0,48.0,5.0,34.0,26.0,f,f,,f,France,2.0,12.0,3.0,0.0,350.0,1.0,0.0,26.0,34.0,22.0,26.0,7.0,8.0,1.0,1.0,7.0,259.0,16.0,30.0,11.0,18.0,5.0,6.0,8.0,29.0,34.0,27.0,48.0,56.0,t,f,t,France
20,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,david-rice,D. Rice,roberto-marcora,R. Marcora,cherbourg_challenger,1st Round Qualifying,2.0,f,100,0,00:59:00,100.0,2.0,12.0,5.0,0.0,0.0,312.0,6.0,3.0,37.0,54.0,30.0,37.0,10.0,17.0,3.0,3.0,9.0,165.0,11.0,29.0,8.0,17.0,3.0,7.0,8.0,40.0,54.0,19.0,46.0,59.0,t,f,,t,France,0.0,5.0,12.0,0.0,242.0,2.0,0.0,29.0,46.0,18.0,29.0,9.0,17.0,4.0,7.0,8.0,60.0,7.0,37.0,7.0,17.0,0.0,3.0,9.0,27.0,46.0,14.0,54.0,41.0,f,f,f,France
21,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,dominic-inglot,D. Inglot,marius-copil,M. Copil,cherbourg_challenger,1st Round Qualifying,3.0,f,100,0,01:41:00,182.0,1.0,15.0,16.0,0.0,1.0,292.0,12.0,2.0,66.0,97.0,50.0,66.0,14.0,31.0,1.0,2.0,15.0,92.0,14.0,56.0,8.0,29.0,1.0,3.0,15.0,64.0,97.0,22.0,85.0,86.0,f,f,,f,France,2.0,16.0,15.0,1.0,311.0,8.0,3.0,56.0,85.0,42.0,56.0,21.0,29.0,2.0,3.0,15.0,135.0,16.0,66.0,17.0,31.0,1.0,2.0,15.0,63.0,85.0,33.0,97.0,96.0,t,f,t,France
22,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,dusan-lajovic,D. Lajovic,maxime-teixeira,M. Teixeira,cherbourg_challenger,Round of 32,2.0,f,100,3,01:31:00,130.0,0.0,8.0,12.0,0.0,0.0,208.0,2.0,1.0,43.0,73.0,25.0,43.0,12.0,30.0,6.0,11.0,10.0,159.0,11.0,33.0,11.0,24.0,3.0,6.0,10.0,37.0,73.0,22.0,57.0,59.0,f,f,,f,France,2.0,12.0,8.0,0.0,253.0,4.0,0.0,33.0,57.0,22.0,33.0,13.0,24.0,3.0,6.0,10.0,197.0,18.0,43.0,18.0,30.0,5.0,11.0,10.0,35.0,57.0,36.0,73.0,71.0,t,f,t,France
23,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,dustin-brown,D. Brown,igor-sijsling,I. Sijsling,cherbourg_challenger,Round of 32,3.0,f,100,3,01:42:00,204.0,1.0,14.0,17.0,0.0,0.0,262.0,13.0,7.0,58.0,105.0,45.0,58.0,20.0,47.0,5.0,8.0,15.0,110.0,16.0,62.0,16.0,37.0,2.0,7.0,16.0,65.0,105.0,32.0,99.0,97.0,f,f,,t,France,2.0,17.0,14.0,0.0,285.0,6.0,2.0,62.0,99.0,46.0,62.0,21.0,37.0,5.0,7.0,16.0,137.0,13.0,58.0,27.0,47.0,3.0,8.0,15.0,67.0,99.0,40.0,105.0,107.0,t,f,f,France
24,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,edouard-roger-vasselin,E. Roger-Vasselin,konstantin-kravchuk,K. Kravchuk,cherbourg_challenger,Round of 32,2.0,f,100,3,01:29:00,131.0,2.0,13.0,9.0,0.0,0.0,271.0,3.0,2.0,36.0,60.0,27.0,36.0,13.0,24.0,0.0,2.0,11.0,172.0,19.0,48.0,12.0,23.0,4.0,9.0,11.0,40.0,60.0,31.0,71.0,71.0,t,f,1,t,France,0.0,9.0,13.0,0.0,244.0,5.0,0.0,48.0,71.0,29.0,48.0,11.0,23.0,5.0,9.0,11.0,189.0,9.0,36.0,11.0,24.0,2.0,2.0,11.0,40.0,71.0,20.0,60.0,60.0,f,f,f,France
25,2012-02-27,2012-03-04,France,Hard,42500.0,€,2012,edouard-roger-vasselin,E. Roger-Vasselin,pierre-hugues-herbert,P. Herbert,cherbourg_challenger,Round of 16,3.0,f,100,4,01:58:00,169.0,1.0,14.0,13.0,0.0,0.0,253.0,2.0,1.0,58.0,85.0,45.0,58.0,8.0,27.0,6.0,9.0,13.0,175.0,15.0,46.0,18.0,38.0,4.0,6.0,14.0,53.0,85.0,33.0,84.0,86.0,f,f,1,t,France,2.0,13.0,14.0,0.0,253.0,12.0,5.0,46.0,84.0,31.0,46.0,20.0,38.0,2.0,6.0,14.0,148.0,13.0,58.0,19.0,27.0,3.0,9.0,13.0,51.0,84.0,32.0,85.0,83.0,t,f,f,France
