start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,agustin-calleri,A. Calleri,juan-martin-aranguren,J. Aranguren,milan_challenger,Round of 32,3.0,f,100,3,01:51:00,148.0,1.0,7.0,16.0,0.0,0.0,176.0,2.0,3.0,32.0,75.0,20.0,32.0,15.0,43.0,7.0,14.0,11.0,144.0,16.0,51.0,11.0,22.0,3.0,8.0,12.0,35.0,75.0,27.0,73.0,62.0,f,f,4,t,Italy,2.0,16.0,7.0,0.0,266.0,3.0,1.0,51.0,73.0,35.0,51.0,11.0,22.0,5.0,8.0,12.0,216.0,12.0,32.0,28.0,43.0,7.0,14.0,11.0,46.0,73.0,40.0,75.0,86.0,t,f,f,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,alberto-brizzi,A. Brizzi,luca-vanni,L. Vanni,milan_challenger,Round of 32,2.0,f,100,3,01:13:00,102.0,2.0,12.0,6.0,0.0,0.0,310.0,3.0,0.0,26.0,48.0,22.0,26.0,15.0,22.0,1.0,1.0,9.0,220.0,8.0,31.0,14.0,23.0,3.0,3.0,9.0,37.0,48.0,22.0,54.0,59.0,t,f,,t,Italy,0.0,6.0,12.0,0.0,242.0,7.0,1.0,31.0,54.0,23.0,31.0,9.0,23.0,0.0,3.0,9.0,47.0,4.0,26.0,7.0,22.0,0.0,1.0,9.0,32.0,54.0,11.0,48.0,43.0,f,f,f,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,alberto-brizzi,A. Brizzi,nicolas-massu,N. Massu,milan_challenger,Round of 16,3.0,f,100,4,02:48:00,192.0,1.0,15.0,17.0,0.0,0.0,256.0,1.0,3.0,54.0,91.0,38.0,54.0,18.0,37.0,1.0,4.0,15.0,129.0,19.0,64.0,14.0,37.0,3.0,7.0,16.0,56.0,91.0,33.0,101.0,89.0,f,f,,t,Italy,2.0,17.0,15.0,0.0,274.0,2.0,4.0,64.0,101.0,45.0,64.0,23.0,37.0,4.0,7.0,16.0,176.0,16.0,54.0,19.0,37.0,3.0,4.0,15.0,68.0,101.0,35.0,91.0,103.0,t,f,f,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,alberto-scagnelli,A. Scagnelli,federico-delbonis,F. Delbonis,milan_challenger,2nd Round Qualifying,2.0,f,100,1,01:01:00,103.0,0.0,2.0,12.0,0.0,0.0,166.0,1.0,4.0,31.0,57.0,16.0,31.0,9.0,26.0,5.0,10.0,7.0,72.0,3.0,26.0,12.0,20.0,0.0,2.0,7.0,25.0,57.0,15.0,46.0,40.0,f,f,WC,f,Italy,2.0,12.0,2.0,0.0,283.0,2.0,4.0,26.0,46.0,23.0,26.0,8.0,20.0,2.0,2.0,7.0,234.0,15.0,31.0,17.0,26.0,5.0,10.0,7.0,31.0,46.0,32.0,57.0,63.0,t,f,t,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,alberto-scagnelli,A. Scagnelli,massimiliano-costa,M. Costa,milan_challenger,1st Round Qualifying,2.0,f,100,0,01:09:00,109.0,2.0,12.0,4.0,0.0,0.0,297.0,6.0,4.0,25.0,44.0,24.0,25.0,8.0,19.0,0.0,0.0,8.0,179.0,11.0,28.0,22.0,37.0,4.0,13.0,8.0,32.0,44.0,33.0,65.0,65.0,t,f,WC,t,Italy,0.0,4.0,12.0,0.0,186.0,1.0,10.0,28.0,65.0,17.0,28.0,15.0,37.0,9.0,13.0,8.0,62.0,1.0,25.0,11.0,19.0,0.0,0.0,8.0,32.0,65.0,12.0,44.0,44.0,f,f,f,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,albert-ramos-vinolas,A. Ramos-Vinolas,wayne-odesnik,W. Odesnik,milan_challenger,Round of 32,2.0,f,100,3,01:54:00,156.0,0.0,10.0,13.0,0.0,1.0,214.0,3.0,3.0,43.0,77.0,22.0,43.0,18.0,34.0,5.0,10.0,11.0,184.0,15.0,47.0,19.0,32.0,4.0,7.0,11.0,40.0,77.0,34.0,79.0,74.0,f,f,,f,Italy,2.0,13.0,10.0,1.0,231.0,4.0,4.0,47.0,79.0,32.0,47.0,13.0,32.0,3.0,7.0,11.0,191.0,21.0,43.0,16.0,34.0,5.0,10.0,11.0,45.0,79.0,37.0,77.0,82.0,t,f,t,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,alessio-di-mauro,A. Di Mauro,fabio-colangelo,F. Colangelo,milan_challenger,Round of 32,2.0,f,100,3,01:08:00,102.0,2.0,12.0,5.0,0.0,0.0,254.0,4.0,3.0,21.0,48.0,16.0,21.0,15.0,27.0,1.0,3.0,9.0,237.0,16.0,33.0,15.0,21.0,5.0,9.0,8.0,31.0,48.0,31.0,54.0,62.0,t,f,8,t,Italy,0.0,5.0,12.0,0.0,179.0,5.0,5.0,33.0,54.0,17.0,33.0,6.0,21.0,4.0,9.0,8.0,157.0,5.0,21.0,12.0,27.0,2.0,3.0,9.0,23.0,54.0,17.0,48.0,40.0,f,f,f,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,alessio-di-mauro,A. Di Mauro,filippo-volandri,F. Volandri,milan_challenger,Semi-Finals,2.0,f,100,6,01:16:00,98.0,2.0,13.0,5.0,0.0,0.0,235.0,0.0,2.0,29.0,51.0,17.0,29.0,12.0,22.0,0.0,3.0,9.0,316.0,28.0,41.0,5.0,6.0,7.0,8.0,9.0,29.0,51.0,33.0,47.0,62.0,t,f,8,t,Italy,0.0,5.0,13.0,0.0,157.0,0.0,1.0,41.0,47.0,13.0,41.0,1.0,6.0,1.0,8.0,9.0,219.0,12.0,29.0,10.0,22.0,3.0,3.0,9.0,14.0,47.0,22.0,51.0,36.0,f,f,f,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,alessio-di-mauro,A. Di Mauro,francesco-piccari,F. Piccari,milan_challenger,Round of 16,2.0,f,100,4,01:36:00,122.0,2.0,12.0,7.0,0.0,0.0,289.0,3.0,0.0,37.0,61.0,25.0,37.0,16.0,24.0,2.0,3.0,10.0,183.0,12.0,32.0,15.0,29.0,3.0,5.0,9.0,41.0,61.0,27.0,61.0,68.0,t,f,8,t,Italy,0.0,7.0,12.0,0.0,227.0,0.0,2.0,32.0,61.0,20.0,32.0,14.0,29.0,2.0,5.0,9.0,108.0,12.0,37.0,8.0,24.0,1.0,3.0,10.0,34.0,61.0,20.0,61.0,54.0,f,f,f,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,alessio-di-mauro,A. Di Mauro,mathieu-montcourt,M. Montcourt,milan_challenger,Quarter-Finals,2.0,f,100,5,01:35:00,104.0,2.0,12.0,5.0,0.0,0.0,262.0,3.0,2.0,27.0,62.0,21.0,27.0,18.0,35.0,6.0,7.0,9.0,220.0,10.0,23.0,9.0,19.0,4.0,5.0,8.0,39.0,62.0,19.0,42.0,58.0,t,f,8,t,Italy,0.0,5.0,12.0,0.0,213.0,0.0,2.0,23.0,42.0,13.0,23.0,10.0,19.0,1.0,5.0,8.0,96.0,6.0,27.0,17.0,35.0,1.0,7.0,9.0,23.0,42.0,23.0,62.0,46.0,f,f,f,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,alessio-di-mauro,A. Di Mauro,vincent-millot,V. Millot,milan_challenger,Finals,2.0,f,100,7,01:52:00,148.0,2.0,13.0,10.0,1.0,1.0,241.0,3.0,2.0,43.0,83.0,25.0,43.0,23.0,40.0,11.0,14.0,11.0,203.0,15.0,37.0,13.0,28.0,4.0,5.0,11.0,48.0,83.0,28.0,65.0,76.0,t,f,8,t,Italy,0.0,10.0,13.0,0.0,234.0,1.0,0.0,37.0,65.0,22.0,37.0,15.0,28.0,1.0,5.0,11.0,133.0,18.0,43.0,17.0,40.0,3.0,14.0,11.0,37.0,65.0,35.0,83.0,72.0,f,f,f,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,andrea-turco,A. Turco,luca-pavanelli,L. Pavanelli,milan_challenger,1st Round Qualifying,2.0,f,100,0,01:31:00,135.0,0.0,9.0,13.0,0.0,0.0,237.0,0.0,2.0,52.0,73.0,32.0,52.0,9.0,21.0,4.0,8.0,11.0,122.0,13.0,41.0,9.0,21.0,2.0,7.0,11.0,41.0,73.0,22.0,62.0,63.0,f,f,,f,Italy,2.0,13.0,9.0,0.0,269.0,1.0,4.0,41.0,62.0,28.0,41.0,12.0,21.0,5.0,7.0,11.0,181.0,20.0,52.0,12.0,21.0,4.0,8.0,11.0,40.0,62.0,32.0,73.0,72.0,t,f,t,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,barnabas-carrega,B. Carrega,marcio-torres,M. Torres,milan_challenger,1st Round Qualifying,2.0,f,100,0,01:13:00,121.0,0.0,5.0,12.0,0.0,0.0,175.0,1.0,7.0,44.0,72.0,24.0,44.0,9.0,28.0,11.0,17.0,9.0,131.0,11.0,33.0,7.0,16.0,2.0,7.0,8.0,33.0,72.0,18.0,49.0,51.0,f,f,,f,Italy,2.0,12.0,5.0,0.0,263.0,0.0,2.0,33.0,49.0,22.0,33.0,9.0,16.0,5.0,7.0,8.0,214.0,20.0,44.0,19.0,28.0,6.0,17.0,9.0,31.0,49.0,39.0,72.0,70.0,t,f,t,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,carlos-calderon-rodriguez,C. Calderon-Rodriguez,francesco-piccari,F. Piccari,milan_challenger,3rd Round Qualifying,3.0,f,100,2,02:02:00,155.0,1.0,11.0,13.0,0.0,0.0,249.0,1.0,4.0,46.0,79.0,31.0,46.0,17.0,33.0,5.0,8.0,12.0,139.0,8.0,40.0,19.0,36.0,2.0,4.0,12.0,48.0,79.0,27.0,76.0,75.0,f,f,,t,Italy,2.0,13.0,11.0,0.0,264.0,2.0,1.0,40.0,76.0,32.0,40.0,17.0,36.0,2.0,4.0,12.0,144.0,15.0,46.0,16.0,33.0,3.0,8.0,12.0,49.0,76.0,31.0,79.0,80.0,t,f,f,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,carlos-calderon-rodriguez,C. Calderon-Rodriguez,roberto-marcora,R. Marcora,milan_challenger,1st Round Qualifying,2.0,f,100,0,01:01:00,101.0,2.0,12.0,4.0,0.0,0.0,293.0,2.0,5.0,26.0,45.0,22.0,26.0,10.0,19.0,0.0,0.0,8.0,197.0,15.0,40.0,11.0,16.0,4.0,10.0,8.0,32.0,45.0,26.0,56.0,58.0,t,f,,t,Italy,0.0,4.0,12.0,0.0,218.0,5.0,2.0,40.0,56.0,25.0,40.0,5.0,16.0,6.0,10.0,8.0,62.0,4.0,26.0,9.0,19.0,0.0,0.0,8.0,30.0,56.0,13.0,45.0,43.0,f,f,f,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,carlos-calderon-rodriguez,C. Calderon-Rodriguez,thomas-fabbiano,T. Fabbiano,milan_challenger,2nd Round Qualifying,2.0,f,100,1,01:35:00,128.0,2.0,13.0,8.0,0.0,0.0,269.0,1.0,6.0,41.0,71.0,27.0,41.0,18.0,30.0,4.0,5.0,10.0,215.0,12.0,38.0,9.0,19.0,4.0,4.0,11.0,45.0,71.0,21.0,57.0,66.0,t,f,,t,Italy,0.0,8.0,13.0,0.0,248.0,0.0,3.0,38.0,57.0,26.0,38.0,10.0,19.0,0.0,4.0,11.0,104.0,14.0,41.0,12.0,30.0,1.0,5.0,10.0,36.0,57.0,26.0,71.0,62.0,f,f,f,Italy
2009-06-15,2009-06-21,Italy,Clay,30000.0,€,2009,daniele-bracciali,D. Bracciali,francesco-piccari,F. Piccari,milan_challenger,Round of 32,2.0,f,100,3,01:17:00,105.0,0.0,7.0,12.0,0.0,0.0,225.0,2.0,3.0,26.0,51.0,17.0,26.0,11.0,25.0,4.0,7.0,9.0,105.0,11.0,46.0,3.0,8.0,1.0,3.0,10.0,28.0,51.0,14.0,54.0,42.0,f,f,WC,f,Italy,2.0,12.0,7.0,0.0,316.0,3.0,1.0,46.0,54.0,35.0,46.0,5.0,8.0,2.0,3.0,10.0,167.0,9.0,26.0,14.0,25.0,3.0,7.0,9.0,40.0,54.0,23.0,51.0,63.0,t,f,t,Italy
