,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2006-09-18,2006-09-24,USA,Hard,50000.0,$,2006,alex-bogomolov-jr.,,wayne-odesnik,,lubbock_challenger,Round of 32,3.0,f,100,3,,,1.0,15.0,18.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,t,USA,2.0,18.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,USA
1,2006-09-18,2006-09-24,USA,Hard,50000.0,$,2006,alex-kuznetsov,,glenn-weiner,,lubbock_challenger,Round of 32,2.0,f,100,3,,,0.0,8.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,WC,f,USA,2.0,12.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,USA
2,2006-09-18,2006-09-24,USA,Hard,50000.0,$,2006,amer-delic,,chris-guccione,,lubbock_challenger,Round of 16,2.0,f,100,4,,,2.0,14.0,12.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,2,t,USA,0.0,12.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,USA
3,2006-09-18,2006-09-24,USA,Hard,50000.0,$,2006,amer-delic,,phillip-simmonds,,lubbock_challenger,Quarter-Finals,2.0,f,100,5,,,2.0,12.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,2,t,USA,0.0,4.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,USA
4,2006-09-18,2006-09-24,USA,Hard,50000.0,$,2006,amer-delic,,sam-querrey,,lubbock_challenger,Semi-Finals,2.0,f,100,6,,,0.0,2.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,2,f,USA,2.0,12.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,USA
5,2006-09-18,2006-09-24,USA,Hard,50000.0,$,2006,amer-delic,,tyler-cleveland,,lubbock_challenger,Round of 32,3.0,f,100,3,,,2.0,20.0,18.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,2,t,USA,1.0,18.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,USA
6,2006-09-18,2006-09-24,USA,Hard,50000.0,$,2006,bobby-reynolds,,bojan-szumanski,,lubbock_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,5,t,USA,0.0,3.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,USA
7,2006-09-18,2006-09-24,USA,Hard,50000.0,$,2006,bobby-reynolds,,noam-okun,,lubbock_challenger,Round of 16,2.0,f,100,4,,,0.0,4.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,5,f,USA,2.0,12.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,USA
8,2006-09-18,2006-09-24,USA,Hard,50000.0,$,2006,brendan-evans,,ivo-heuberger,,lubbock_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,Q,t,USA,0.0,3.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,USA
9,2006-09-18,2006-09-24,USA,Hard,50000.0,$,2006,brendan-evans,,wayne-odesnik,,lubbock_challenger,Round of 16,3.0,f,100,4,,,1.0,14.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,t,USA,2.0,15.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,USA
10,2006-09-18,2006-09-24,USA,Hard,50000.0,$,2006,cecil-mamiit,,noam-okun,,lubbock_challenger,Round of 32,2.0,f,100,3,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,USA,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,USA
