start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,alexander-babanine,A. Babanine,matthew-christopher-romios,M. Romios,canberra_challenger,1st Round Qualifying,3.0,f,100,0,02:16:00,198.0,1.0,13.0,15.0,0.0,0.0,225.0,3.0,8.0,60.0,104.0,35.0,60.0,22.0,44.0,8.0,13.0,14.0,158.0,14.0,50.0,23.0,44.0,4.0,8.0,14.0,57.0,104.0,37.0,94.0,94.0,f,f,,f,Australia,2.0,15.0,13.0,0.0,240.0,1.0,5.0,50.0,94.0,36.0,50.0,21.0,44.0,4.0,8.0,14.0,165.0,25.0,60.0,22.0,44.0,5.0,13.0,14.0,57.0,94.0,47.0,104.0,104.0,t,f,t,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,alexander-crnokrak,A. Crnokrak,geoffrey-blancaneaux,G. Blancaneaux,canberra_challenger,Round of 32,2.0,f,100,3,01:04:00,92.0,0.0,3.0,12.0,0.0,0.0,150.0,0.0,4.0,22.0,56.0,12.0,22.0,12.0,34.0,4.0,10.0,8.0,115.0,5.0,23.0,6.0,13.0,1.0,3.0,7.0,24.0,56.0,11.0,36.0,35.0,f,f,WC,f,Australia,2.0,12.0,3.0,0.0,280.0,1.0,2.0,23.0,36.0,18.0,23.0,7.0,13.0,2.0,3.0,7.0,245.0,10.0,22.0,22.0,34.0,6.0,10.0,8.0,25.0,36.0,32.0,56.0,57.0,t,f,t,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,andreas-seppi,A. Seppi,guillermo-garcia-lopez,G. Garcia-Lopez,canberra_challenger,Quarter-Finals,2.0,f,100,5,01:23:00,125.0,2.0,12.0,7.0,0.0,0.0,273.0,1.0,0.0,36.0,65.0,26.0,36.0,16.0,29.0,1.0,2.0,10.0,164.0,14.0,39.0,12.0,21.0,3.0,8.0,9.0,42.0,65.0,26.0,60.0,68.0,t,f,7,t,Australia,0.0,7.0,12.0,0.0,239.0,4.0,3.0,39.0,60.0,25.0,39.0,9.0,21.0,5.0,8.0,9.0,133.0,10.0,36.0,13.0,29.0,1.0,2.0,10.0,34.0,60.0,23.0,65.0,57.0,f,f,f,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,andreas-seppi,A. Seppi,marton-fucsovics,M. Fucsovics,canberra_challenger,Finals,3.0,f,100,7,02:16:00,198.0,2.0,17.0,14.0,0.0,0.0,266.0,3.0,2.0,54.0,98.0,33.0,54.0,30.0,44.0,7.0,10.0,16.0,144.0,15.0,54.0,25.0,46.0,4.0,11.0,15.0,63.0,98.0,40.0,100.0,103.0,t,f,7,f,Australia,1.0,14.0,17.0,0.0,243.0,4.0,6.0,54.0,100.0,39.0,54.0,21.0,46.0,7.0,11.0,15.0,119.0,21.0,54.0,14.0,44.0,3.0,10.0,16.0,60.0,100.0,35.0,98.0,95.0,f,f,t,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,andreas-seppi,A. Seppi,maximilian-marterer,M. Marterer,canberra_challenger,Round of 32,3.0,f,100,3,02:04:00,208.0,2.0,16.0,15.0,1.0,1.0,285.0,9.0,1.0,53.0,94.0,43.0,53.0,22.0,41.0,2.0,4.0,15.0,116.0,22.0,80.0,17.0,34.0,2.0,8.0,15.0,65.0,94.0,39.0,114.0,104.0,t,f,7,f,Australia,1.0,15.0,16.0,0.0,290.0,13.0,2.0,80.0,114.0,58.0,80.0,17.0,34.0,6.0,8.0,15.0,128.0,10.0,53.0,19.0,41.0,2.0,4.0,15.0,75.0,114.0,29.0,94.0,104.0,f,f,t,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,andreas-seppi,A. Seppi,nathan-pasha,N. Pasha,canberra_challenger,Round of 16,2.0,f,100,4,01:09:00,121.0,2.0,12.0,6.0,0.0,0.0,273.0,6.0,2.0,28.0,55.0,23.0,28.0,13.0,27.0,3.0,4.0,9.0,189.0,19.0,46.0,12.0,20.0,4.0,9.0,9.0,36.0,55.0,31.0,66.0,67.0,t,f,7,t,Australia,0.0,6.0,12.0,0.0,223.0,1.0,2.0,46.0,66.0,27.0,46.0,8.0,20.0,5.0,9.0,9.0,106.0,5.0,28.0,14.0,27.0,1.0,4.0,9.0,35.0,66.0,19.0,55.0,54.0,f,f,f,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,andreas-seppi,A. Seppi,victor-estrella-burgos,V. Estrella Burgos,canberra_challenger,Semi-Finals,2.0,f,100,6,01:15:00,118.0,2.0,12.0,4.0,0.0,0.0,282.0,3.0,1.0,19.0,50.0,13.0,19.0,23.0,31.0,5.0,5.0,8.0,189.0,14.0,40.0,18.0,28.0,4.0,10.0,8.0,36.0,50.0,32.0,68.0,68.0,t,f,7,t,Australia,0.0,4.0,12.0,0.0,209.0,2.0,3.0,40.0,68.0,26.0,40.0,10.0,28.0,6.0,10.0,8.0,58.0,6.0,19.0,8.0,31.0,0.0,5.0,8.0,36.0,68.0,14.0,50.0,50.0,f,f,f,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,andrew-harris,A. Harris,gavin-van-peperzeel,G. Van Peperzeel,canberra_challenger,Round of 32,2.0,f,100,3,00:47:00,91.0,2.0,12.0,3.0,0.0,0.0,319.0,5.0,2.0,27.0,38.0,22.0,27.0,7.0,11.0,1.0,1.0,7.0,216.0,13.0,25.0,16.0,28.0,5.0,11.0,8.0,29.0,38.0,29.0,53.0,58.0,t,f,,t,Australia,0.0,3.0,12.0,0.0,171.0,4.0,8.0,25.0,53.0,12.0,25.0,12.0,28.0,6.0,11.0,8.0,55.0,5.0,27.0,4.0,11.0,0.0,1.0,7.0,24.0,53.0,9.0,38.0,33.0,f,f,f,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,andrew-harris,A. Harris,hugo-grenier,H. Grenier,canberra_challenger,Round of 16,3.0,f,100,4,02:29:00,206.0,1.0,17.0,17.0,0.0,1.0,274.0,2.0,3.0,82.0,117.0,52.0,82.0,21.0,35.0,7.0,10.0,17.0,155.0,13.0,59.0,12.0,30.0,3.0,4.0,16.0,73.0,117.0,25.0,89.0,98.0,f,f,,f,Australia,2.0,17.0,17.0,1.0,290.0,10.0,5.0,59.0,89.0,46.0,59.0,18.0,30.0,1.0,4.0,16.0,124.0,30.0,82.0,14.0,35.0,3.0,10.0,17.0,64.0,89.0,44.0,117.0,108.0,t,f,t,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,benard-bruno-nkomba,B. Nkomba,jamieson-nathan,J. Nathan,canberra_challenger,1st Round Qualifying,2.0,f,100,0,01:57:00,175.0,2.0,13.0,7.0,0.0,0.0,217.0,3.0,16.0,51.0,102.0,36.0,51.0,20.0,51.0,16.0,19.0,10.0,217.0,26.0,49.0,14.0,24.0,6.0,13.0,10.0,56.0,102.0,40.0,73.0,96.0,t,f,,t,Australia,0.0,7.0,13.0,0.0,193.0,0.0,3.0,49.0,73.0,23.0,49.0,10.0,24.0,7.0,13.0,10.0,136.0,15.0,51.0,31.0,51.0,3.0,19.0,10.0,33.0,73.0,46.0,102.0,79.0,f,f,f,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,benard-bruno-nkomba,B. Nkomba,sebastian-korda,S. Korda,canberra_challenger,2nd Round Qualifying,2.0,f,100,1,01:04:00,87.0,0.0,2.0,12.0,0.0,0.0,156.0,1.0,6.0,24.0,46.0,13.0,24.0,6.0,22.0,3.0,8.0,7.0,56.0,3.0,22.0,8.0,19.0,0.0,2.0,7.0,19.0,46.0,11.0,41.0,30.0,f,f,,f,Australia,2.0,12.0,2.0,0.0,302.0,8.0,4.0,22.0,41.0,19.0,22.0,11.0,19.0,2.0,2.0,7.0,253.0,11.0,24.0,16.0,22.0,5.0,8.0,7.0,30.0,41.0,27.0,46.0,57.0,t,f,t,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,benjamin-mitchell,B. Mitchell,dane-propoggia,D. Propoggia,canberra_challenger,Round of 32,3.0,f,100,3,01:20:00,147.0,2.0,15.0,10.0,0.0,0.0,304.0,9.0,2.0,55.0,69.0,42.0,55.0,7.0,14.0,3.0,4.0,12.0,177.0,16.0,44.0,15.0,34.0,4.0,6.0,13.0,49.0,69.0,31.0,78.0,80.0,t,f,WC,f,Australia,1.0,10.0,15.0,0.0,243.0,6.0,8.0,44.0,78.0,28.0,44.0,19.0,34.0,2.0,6.0,13.0,107.0,13.0,55.0,7.0,14.0,1.0,4.0,12.0,47.0,78.0,20.0,69.0,67.0,f,f,t,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,benjamin-mitchell,B. Mitchell,florian-mayer,F. Mayer,canberra_challenger,Round of 16,2.0,f,100,4,01:31:00,170.0,0.0,10.0,13.0,0.0,1.0,218.0,4.0,6.0,72.0,95.0,43.0,72.0,7.0,23.0,6.0,11.0,11.0,164.0,19.0,50.0,10.0,25.0,4.0,8.0,11.0,50.0,95.0,29.0,75.0,79.0,f,f,WC,f,Australia,2.0,13.0,10.0,1.0,256.0,5.0,1.0,50.0,75.0,31.0,50.0,15.0,25.0,4.0,8.0,11.0,200.0,29.0,72.0,16.0,23.0,5.0,11.0,11.0,46.0,75.0,45.0,95.0,91.0,t,f,t,Australia
2018-01-08,2018-01-13,Australia,Hard,75000.0,$,2018,brian-tran,B. Tran,jake-delaney,J. Delaney,canberra_challenger,2nd Round Qualifying,3.0,f,100,1,02:08:00,192.0,2.0,14.0,16.0,1.0,1.0,243.0,6.0,4.0,46.0,90.0,34.0,46.0,20.0,44.0,6.0,10.0,14.0,141.0,17.0,60.0,21.0,42.0,3.0,7.0,15.0,54.0,90.0,38.0,102.0,92.0,t,f,WC,t,Australia,1.0,16.0,14.0,0.0,269.0,14.0,6.0,60.0,102.0,43.0,60.0,21.0,42.0,4.0,7.0,15.0,149.0,12.0,46.0,24.0,44.0,4.0,10.0,14.0,64.0,102.0,36.0,90.0,100.0,f,f,f,Australia
