,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,adrian-cruciat,A. Cruciat,alexander-slabinsky,A. Slabinsky,wimbledon,1st Round Qualifying,2.0,f,2000,-2,01:08:00,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
1,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,adrian-mannarino,A. Mannarino,blaz-kavcic,B. Kavcic,wimbledon,3rd Round Qualifying,3.0,f,2000,0,02:03:00,0.0,3.0,19.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,13,t,United Kingdom of Great Britain and Northern Ireland,0.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,adrian-mannarino,A. Mannarino,bruno-echagaray,B. Echagaray,wimbledon,1st Round Qualifying,2.0,f,2000,-2,01:24:00,0.0,2.0,13.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,13,t,United Kingdom of Great Britain and Northern Ireland,0.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
3,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,adrian-mannarino,A. Mannarino,marc-gicquel,M. Gicquel,wimbledon,Round of 128,3.0,f,2000,1,01:32:00,154.0,0.0,8.0,18.0,0.0,0.0,221.0,8.0,4.0,51.0,80.0,30.0,51.0,12.0,29.0,3.0,9.0,13.0,90.0,8.0,39.0,13.0,35.0,1.0,4.0,13.0,42.0,80.0,21.0,74.0,63.0,f,f,Q,f,United Kingdom of Great Britain and Northern Ireland,3.0,18.0,8.0,0.0,289.0,5.0,3.0,39.0,74.0,31.0,39.0,22.0,35.0,3.0,4.0,13.0,213.0,21.0,51.0,17.0,29.0,6.0,9.0,13.0,53.0,74.0,38.0,80.0,91.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
4,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,adrian-mannarino,A. Mannarino,stephane-robert,S. Robert,wimbledon,2nd Round Qualifying,3.0,f,2000,-1,01:37:00,0.0,2.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,13,f,United Kingdom of Great Britain and Northern Ireland,1.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,t,United Kingdom of Great Britain and Northern Ireland
5,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,adrian-ungur,A. Ungur,sam-warburg,S. Warburg,wimbledon,1st Round Qualifying,2.0,f,2000,-2,01:42:00,0.0,0.0,11.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,2.0,14.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
6,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,agustin-calleri,A. Calleri,guillermo-garcia-lopez,G. Garcia-Lopez,wimbledon,Round of 128,3.0,f,2000,1,01:39:00,156.0,0.0,7.0,18.0,0.0,0.0,213.0,1.0,5.0,63.0,86.0,37.0,63.0,8.0,23.0,2.0,8.0,12.0,106.0,9.0,47.0,7.0,23.0,1.0,2.0,13.0,45.0,86.0,16.0,70.0,61.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,3.0,18.0,7.0,0.0,312.0,6.0,4.0,47.0,70.0,38.0,47.0,16.0,23.0,1.0,2.0,13.0,231.0,26.0,63.0,15.0,23.0,6.0,8.0,12.0,54.0,70.0,41.0,86.0,95.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
7,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,albert-montanes,A. Montanes,fernando-verdasco,F. Verdasco,wimbledon,Round of 32,4.0,f,2000,3,02:18:00,225.0,1.0,17.0,23.0,0.0,1.0,276.0,5.0,0.0,64.0,111.0,50.0,64.0,24.0,47.0,6.0,9.0,19.0,87.0,16.0,87.0,12.0,27.0,1.0,5.0,20.0,74.0,111.0,28.0,114.0,102.0,f,f,32,t,United Kingdom of Great Britain and Northern Ireland,3.0,23.0,17.0,1.0,320.0,16.0,5.0,87.0,114.0,71.0,87.0,15.0,27.0,4.0,5.0,20.0,119.0,14.0,64.0,23.0,47.0,3.0,9.0,19.0,86.0,114.0,37.0,111.0,123.0,t,f,f,United Kingdom of Great Britain and Northern Ireland
8,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,albert-montanes,A. Montanes,grega-zemlja,G. Zemlja,wimbledon,Round of 128,3.0,f,2000,1,01:38:00,180.0,3.0,18.0,12.0,0.0,0.0,316.0,11.0,2.0,61.0,89.0,51.0,61.0,15.0,28.0,3.0,3.0,15.0,148.0,19.0,58.0,15.0,33.0,3.0,6.0,15.0,66.0,89.0,34.0,91.0,100.0,t,f,32,t,United Kingdom of Great Britain and Northern Ireland,0.0,12.0,18.0,0.0,267.0,5.0,4.0,58.0,91.0,39.0,58.0,18.0,33.0,3.0,6.0,15.0,62.0,10.0,61.0,13.0,28.0,0.0,3.0,15.0,57.0,91.0,23.0,89.0,80.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
9,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,albert-montanes,A. Montanes,guillermo-canas,G. Canas,wimbledon,Round of 64,4.0,f,2000,2,02:47:00,238.0,3.0,22.0,16.0,0.0,0.0,264.0,4.0,4.0,74.0,133.0,52.0,74.0,32.0,59.0,14.0,17.0,19.0,170.0,12.0,53.0,29.0,52.0,6.0,10.0,19.0,84.0,133.0,41.0,105.0,125.0,t,f,32,t,United Kingdom of Great Britain and Northern Ireland,1.0,16.0,22.0,0.0,240.0,4.0,3.0,53.0,105.0,41.0,53.0,23.0,52.0,4.0,10.0,19.0,109.0,22.0,74.0,27.0,59.0,3.0,17.0,19.0,64.0,105.0,49.0,133.0,113.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
10,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alberto-martin,A. Martin,marin-cilic,M. Cilic,wimbledon,Round of 128,3.0,f,2000,1,01:50:00,179.0,0.0,11.0,18.0,0.0,0.0,264.0,2.0,1.0,56.0,89.0,36.0,56.0,19.0,33.0,5.0,8.0,14.0,56.0,15.0,57.0,10.0,33.0,0.0,4.0,15.0,55.0,89.0,25.0,90.0,80.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,3.0,18.0,11.0,0.0,318.0,12.0,1.0,57.0,90.0,42.0,57.0,23.0,33.0,4.0,4.0,15.0,137.0,20.0,56.0,14.0,33.0,3.0,8.0,14.0,65.0,90.0,34.0,89.0,99.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
11,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alejandro-falla,A. Falla,donald-young,D. Young,wimbledon,1st Round Qualifying,2.0,f,2000,-2,01:14:00,0.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
12,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alejandro-falla,A. Falla,marco-chiudinelli,M. Chiudinelli,wimbledon,2nd Round Qualifying,3.0,f,2000,-1,03:28:00,0.0,2.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,,f,United Kingdom of Great Britain and Northern Ireland,1.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,t,United Kingdom of Great Britain and Northern Ireland
13,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alejandro-falla,A. Falla,radek-stepanek,R. Stepanek,wimbledon,Round of 128,3.0,f,2000,1,01:50:00,172.0,0.0,9.0,18.0,0.0,0.0,206.0,2.0,8.0,55.0,91.0,34.0,55.0,12.0,36.0,3.0,9.0,14.0,95.0,13.0,51.0,13.0,30.0,1.0,5.0,13.0,46.0,91.0,26.0,81.0,72.0,f,f,Q,f,United Kingdom of Great Britain and Northern Ireland,3.0,18.0,9.0,0.0,289.0,5.0,3.0,51.0,81.0,38.0,51.0,17.0,30.0,4.0,5.0,13.0,214.0,21.0,55.0,24.0,36.0,6.0,9.0,14.0,55.0,81.0,45.0,91.0,100.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
14,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alejandro-falla,A. Falla,sebastien-de-chaunac,S. De Chaunac,wimbledon,3rd Round Qualifying,3.0,f,2000,0,01:51:00,0.0,3.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
15,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alexander-flock,A. Flock,matthias-bachinger,M. Bachinger,wimbledon,2nd Round Qualifying,2.0,f,2000,-1,01:19:00,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,2.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
16,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alexander-flock,A. Flock,tomas-tenconi,T. Tenconi,wimbledon,1st Round Qualifying,3.0,f,2000,-2,02:03:00,0.0,2.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,,f,United Kingdom of Great Britain and Northern Ireland,1.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,t,United Kingdom of Great Britain and Northern Ireland
17,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alexander-kudryavtsev,A. Kudryavtsev,mikhail-elgin,M. Elgin,wimbledon,1st Round Qualifying,2.0,f,2000,-2,01:10:00,0.0,2.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
18,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alexander-kudryavtsev,A. Kudryavtsev,riccardo-ghedin,R. Ghedin,wimbledon,2nd Round Qualifying,3.0,f,2000,-1,02:01:00,0.0,1.0,15.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,t,United Kingdom of Great Britain and Northern Ireland,2.0,18.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,f,United Kingdom of Great Britain and Northern Ireland
19,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alexander-peya,A. Peya,joao-souza,J. Souza,wimbledon,1st Round Qualifying,3.0,f,2000,-2,01:24:00,0.0,2.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,1.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
20,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alexander-peya,A. Peya,joshua-milton,J. Milton,wimbledon,2nd Round Qualifying,3.0,f,2000,-1,01:24:00,0.0,2.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,,f,United Kingdom of Great Britain and Northern Ireland,1.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,t,United Kingdom of Great Britain and Northern Ireland
21,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alexander-peya,A. Peya,thiago-alves,T. Alves,wimbledon,3rd Round Qualifying,3.0,f,2000,0,01:34:00,0.0,3.0,19.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
22,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alexander-peya,A. Peya,tommy-haas,T. Haas,wimbledon,Round of 128,4.0,f,2000,1,02:54:00,287.0,1.0,20.0,25.0,1.0,1.0,274.0,11.0,4.0,74.0,127.0,51.0,74.0,32.0,53.0,8.0,12.0,21.0,97.0,20.0,96.0,34.0,64.0,2.0,14.0,22.0,83.0,127.0,54.0,160.0,137.0,f,f,Q,t,United Kingdom of Great Britain and Northern Ireland,3.0,25.0,20.0,0.0,275.0,12.0,13.0,96.0,160.0,76.0,96.0,30.0,64.0,12.0,14.0,22.0,123.0,23.0,74.0,21.0,53.0,4.0,12.0,21.0,106.0,160.0,44.0,127.0,150.0,t,f,f,United Kingdom of Great Britain and Northern Ireland
23,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alexander-slabinsky,A. Slabinsky,roko-karanusic,R. Karanusic,wimbledon,2nd Round Qualifying,2.0,f,2000,-1,01:10:00,0.0,0.0,7.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,WC,f,United Kingdom of Great Britain and Northern Ireland,2.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
24,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alexandre-sidorenko,A. Sidorenko,joshua-milton,J. Milton,wimbledon,1st Round Qualifying,3.0,f,2000,-2,01:30:00,0.0,1.0,13.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,30,t,United Kingdom of Great Britain and Northern Ireland,2.0,15.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,f,f,United Kingdom of Great Britain and Northern Ireland
25,2009-06-22,2009-07-05,United Kingdom of Great Britain and Northern Ireland,Grass,5616600.0,£,2009,alex-bogdanovic,A. Bogdanovic,tomas-berdych,T. Berdych,wimbledon,Round of 128,3.0,f,2000,1,01:28:00,146.0,0.0,11.0,18.0,0.0,0.0,267.0,5.0,3.0,47.0,74.0,37.0,47.0,12.0,27.0,2.0,5.0,14.0,32.0,3.0,44.0,7.0,28.0,0.0,0.0,15.0,49.0,74.0,10.0,72.0,59.0,f,f,WC,f,United Kingdom of Great Britain and Northern Ireland,3.0,18.0,11.0,0.0,337.0,9.0,1.0,44.0,72.0,41.0,44.0,21.0,28.0,0.0,0.0,15.0,158.0,10.0,47.0,15.0,27.0,3.0,5.0,14.0,62.0,72.0,25.0,74.0,87.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
