start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,adam-chadaj,A. Chadaj,adrian-garcia,A. Garcia,como_challenger,2nd Round Qualifying,3.0,f,100,1,02:01:00,162.0,1.0,11.0,16.0,0.0,0.0,170.0,0.0,8.0,39.0,77.0,17.0,39.0,17.0,38.0,4.0,12.0,13.0,181.0,16.0,40.0,24.0,45.0,6.0,13.0,14.0,34.0,77.0,40.0,85.0,74.0,f,f,,t,Italy,2.0,16.0,11.0,0.0,209.0,5.0,7.0,40.0,85.0,24.0,40.0,21.0,45.0,7.0,13.0,14.0,239.0,22.0,39.0,21.0,38.0,8.0,12.0,13.0,45.0,85.0,43.0,77.0,88.0,t,f,f,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,adam-chadaj,A. Chadaj,morgan-phillips,M. Phillips,como_challenger,1st Round Qualifying,2.0,f,100,0,01:51:00,138.0,2.0,13.0,8.0,1.0,1.0,255.0,2.0,7.0,40.0,67.0,27.0,40.0,14.0,27.0,3.0,5.0,10.0,185.0,23.0,51.0,10.0,20.0,4.0,8.0,10.0,41.0,67.0,33.0,71.0,74.0,t,f,,t,Italy,0.0,8.0,13.0,0.0,240.0,3.0,0.0,51.0,71.0,28.0,51.0,10.0,20.0,4.0,8.0,10.0,141.0,13.0,40.0,13.0,27.0,2.0,5.0,10.0,38.0,71.0,26.0,67.0,64.0,f,f,f,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,adrian-garcia,A. Garcia,malek-jaziri,M. Jaziri,como_challenger,Round of 32,3.0,f,100,3,02:45:00,202.0,1.0,17.0,15.0,0.0,1.0,231.0,5.0,3.0,62.0,102.0,39.0,62.0,17.0,40.0,4.0,10.0,16.0,207.0,19.0,60.0,26.0,40.0,7.0,11.0,15.0,56.0,102.0,45.0,100.0,101.0,f,f,Q,t,Italy,2.0,15.0,17.0,1.0,219.0,6.0,3.0,60.0,100.0,41.0,60.0,14.0,40.0,4.0,11.0,15.0,192.0,23.0,62.0,23.0,40.0,6.0,10.0,16.0,55.0,100.0,46.0,102.0,101.0,t,f,f,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,adrian-garcia,A. Garcia,walter-trusendi,W. Trusendi,como_challenger,3rd Round Qualifying,2.0,f,100,2,01:41:00,133.0,2.0,12.0,7.0,0.0,0.0,271.0,3.0,2.0,50.0,72.0,34.0,50.0,10.0,22.0,3.0,4.0,9.0,219.0,14.0,36.0,15.0,25.0,4.0,5.0,10.0,44.0,72.0,29.0,61.0,73.0,t,f,1,t,Italy,0.0,7.0,12.0,0.0,225.0,7.0,2.0,36.0,61.0,22.0,36.0,10.0,25.0,1.0,5.0,10.0,123.0,16.0,50.0,12.0,22.0,1.0,4.0,9.0,32.0,61.0,28.0,72.0,60.0,f,f,f,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,alberto-brizzi,A. Brizzi,filippo-volandri,F. Volandri,como_challenger,Round of 16,2.0,f,100,4,01:04:00,84.0,0.0,2.0,12.0,0.0,0.0,159.0,0.0,2.0,22.0,42.0,9.0,22.0,8.0,20.0,4.0,9.0,7.0,62.0,8.0,31.0,4.0,11.0,0.0,1.0,7.0,17.0,42.0,12.0,42.0,29.0,f,f,,f,Italy,2.0,12.0,2.0,0.0,312.0,0.0,0.0,31.0,42.0,23.0,31.0,7.0,11.0,1.0,1.0,7.0,246.0,13.0,22.0,12.0,20.0,5.0,9.0,7.0,30.0,42.0,25.0,42.0,55.0,t,f,t,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,alberto-brizzi,A. Brizzi,matteo-trevisan,M. Trevisan,como_challenger,Round of 32,2.0,f,100,3,01:14:00,97.0,2.0,12.0,4.0,0.0,0.0,299.0,3.0,3.0,35.0,51.0,28.0,35.0,8.0,16.0,3.0,3.0,8.0,233.0,14.0,30.0,9.0,16.0,4.0,5.0,8.0,36.0,51.0,23.0,46.0,59.0,t,f,,t,Italy,0.0,4.0,12.0,0.0,209.0,0.0,3.0,30.0,46.0,16.0,30.0,7.0,16.0,1.0,5.0,8.0,70.0,7.0,35.0,8.0,16.0,0.0,3.0,8.0,23.0,46.0,15.0,51.0,38.0,f,f,f,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,alessio-di-mauro,A. Di Mauro,rainer-eitzinger,R. Eitzinger,como_challenger,Round of 32,2.0,f,100,3,01:58:00,138.0,2.0,12.0,8.0,0.0,0.0,282.0,5.0,3.0,38.0,61.0,29.0,38.0,12.0,23.0,3.0,4.0,10.0,162.0,15.0,44.0,18.0,33.0,3.0,7.0,10.0,41.0,61.0,33.0,77.0,74.0,t,f,,t,Italy,0.0,8.0,12.0,0.0,233.0,0.0,5.0,44.0,77.0,29.0,44.0,15.0,33.0,4.0,7.0,10.0,107.0,9.0,38.0,11.0,23.0,1.0,4.0,10.0,44.0,77.0,20.0,61.0,64.0,f,f,f,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,alessio-di-mauro,A. Di Mauro,tomas-tenconi,T. Tenconi,como_challenger,Round of 16,2.0,f,100,4,01:24:00,121.0,0.0,5.0,12.0,0.0,0.0,234.0,4.0,1.0,26.0,48.0,17.0,26.0,11.0,22.0,2.0,5.0,8.0,77.0,13.0,49.0,12.0,24.0,0.0,7.0,9.0,28.0,48.0,25.0,73.0,53.0,f,f,,f,Italy,2.0,12.0,5.0,0.0,290.0,0.0,0.0,49.0,73.0,36.0,49.0,12.0,24.0,7.0,7.0,9.0,182.0,9.0,26.0,11.0,22.0,3.0,5.0,8.0,48.0,73.0,20.0,48.0,68.0,t,f,t,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,alexandr-dolgopolov,A. Dolgopolov,filippo-volandri,F. Volandri,como_challenger,Quarter-Finals,2.0,f,100,5,01:19:00,136.0,2.0,13.0,7.0,1.0,1.0,263.0,4.0,4.0,37.0,72.0,26.0,37.0,19.0,35.0,6.0,7.0,9.0,256.0,23.0,56.0,6.0,8.0,4.0,4.0,10.0,45.0,72.0,29.0,64.0,74.0,t,f,7,t,Italy,0.0,7.0,13.0,0.0,229.0,0.0,3.0,56.0,64.0,33.0,56.0,2.0,8.0,0.0,4.0,10.0,101.0,11.0,37.0,16.0,35.0,1.0,7.0,9.0,35.0,64.0,27.0,72.0,62.0,f,f,f,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,alexandr-dolgopolov,A. Dolgopolov,jonathan-eysseric,J. Eysseric,como_challenger,Round of 16,2.0,f,100,4,01:09:00,111.0,2.0,13.0,6.0,0.0,0.0,310.0,6.0,1.0,30.0,50.0,24.0,30.0,13.0,20.0,0.0,0.0,9.0,212.0,11.0,31.0,17.0,30.0,4.0,5.0,10.0,37.0,50.0,28.0,61.0,65.0,t,f,7,t,Italy,0.0,6.0,13.0,0.0,217.0,1.0,3.0,31.0,61.0,20.0,31.0,13.0,30.0,1.0,5.0,10.0,55.0,6.0,30.0,7.0,20.0,0.0,0.0,9.0,33.0,61.0,13.0,50.0,46.0,f,f,f,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,alexandr-dolgopolov,A. Dolgopolov,juan-martin-aranguren,J. Aranguren,como_challenger,Finals,2.0,f,100,7,01:37:00,151.0,2.0,14.0,11.0,1.0,1.0,269.0,11.0,1.0,32.0,73.0,30.0,32.0,19.0,41.0,4.0,7.0,12.0,165.0,23.0,60.0,8.0,18.0,4.0,8.0,12.0,49.0,73.0,31.0,78.0,80.0,t,f,7,t,Italy,0.0,11.0,14.0,0.0,260.0,0.0,1.0,60.0,78.0,37.0,60.0,10.0,18.0,4.0,8.0,12.0,128.0,2.0,32.0,22.0,41.0,3.0,7.0,12.0,47.0,78.0,24.0,73.0,71.0,f,f,f,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,alexandr-dolgopolov,A. Dolgopolov,paolo-lorenzi,P. Lorenzi,como_challenger,Semi-Finals,2.0,f,100,6,01:11:00,110.0,2.0,12.0,6.0,0.0,0.0,291.0,5.0,2.0,27.0,56.0,22.0,27.0,17.0,29.0,2.0,2.0,9.0,193.0,12.0,34.0,10.0,20.0,3.0,4.0,9.0,39.0,56.0,22.0,54.0,61.0,t,f,7,t,Italy,0.0,6.0,12.0,0.0,244.0,0.0,0.0,34.0,54.0,22.0,34.0,10.0,20.0,1.0,4.0,9.0,60.0,5.0,27.0,12.0,29.0,0.0,2.0,9.0,32.0,54.0,17.0,56.0,49.0,f,f,f,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,alexandr-dolgopolov,A. Dolgopolov,thomas-fabbiano,T. Fabbiano,como_challenger,Round of 32,2.0,f,100,3,01:22:00,120.0,2.0,12.0,8.0,0.0,0.0,264.0,11.0,4.0,32.0,63.0,25.0,32.0,15.0,31.0,4.0,6.0,10.0,166.0,8.0,23.0,16.0,34.0,4.0,9.0,10.0,40.0,63.0,24.0,57.0,64.0,t,f,7,t,Italy,0.0,8.0,12.0,0.0,212.0,0.0,6.0,23.0,57.0,15.0,23.0,18.0,34.0,5.0,9.0,10.0,127.0,7.0,32.0,16.0,31.0,2.0,6.0,10.0,33.0,57.0,23.0,63.0,56.0,f,f,f,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,alexandre-sidorenko,A. Sidorenko,carlos-berlocq,C. Berlocq,como_challenger,Round of 16,3.0,f,100,4,02:16:00,174.0,1.0,14.0,14.0,0.0,0.0,245.0,4.0,2.0,61.0,98.0,36.0,61.0,19.0,37.0,13.0,17.0,14.0,175.0,14.0,46.0,15.0,30.0,4.0,6.0,14.0,55.0,98.0,29.0,76.0,84.0,f,f,3,f,Italy,2.0,14.0,14.0,0.0,251.0,0.0,1.0,46.0,76.0,32.0,46.0,15.0,30.0,2.0,6.0,14.0,142.0,25.0,61.0,18.0,37.0,4.0,17.0,14.0,47.0,76.0,43.0,98.0,90.0,t,f,t,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,alexandre-sidorenko,A. Sidorenko,cristian-villagran,C. Villagran,como_challenger,Round of 32,2.0,f,100,3,01:43:00,131.0,2.0,13.0,9.0,1.0,1.0,245.0,2.0,0.0,37.0,65.0,26.0,37.0,13.0,28.0,4.0,7.0,10.0,218.0,17.0,46.0,13.0,20.0,5.0,7.0,11.0,39.0,65.0,30.0,66.0,69.0,t,f,3,t,Italy,0.0,9.0,13.0,0.0,220.0,0.0,2.0,46.0,66.0,29.0,46.0,7.0,20.0,2.0,7.0,11.0,157.0,11.0,37.0,15.0,28.0,3.0,7.0,10.0,36.0,66.0,26.0,65.0,62.0,f,f,f,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,andrea-arnaboldi,A. Arnaboldi,jonathan-eysseric,J. Eysseric,como_challenger,Round of 32,2.0,f,100,3,01:22:00,104.0,0.0,4.0,12.0,0.0,0.0,165.0,0.0,2.0,35.0,55.0,15.0,35.0,7.0,20.0,4.0,10.0,8.0,171.0,8.0,32.0,12.0,17.0,2.0,4.0,8.0,22.0,55.0,20.0,49.0,42.0,f,f,,f,Italy,2.0,12.0,4.0,0.0,244.0,3.0,3.0,32.0,49.0,24.0,32.0,5.0,17.0,2.0,4.0,8.0,257.0,20.0,35.0,13.0,20.0,6.0,10.0,8.0,29.0,49.0,33.0,55.0,62.0,t,f,t,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,andrei-gorban,A. Gorban,malek-jaziri,M. Jaziri,como_challenger,3rd Round Qualifying,2.0,f,100,2,01:49:00,136.0,0.0,7.0,13.0,0.0,1.0,190.0,3.0,7.0,46.0,73.0,23.0,46.0,10.0,27.0,4.0,9.0,9.0,169.0,13.0,37.0,14.0,26.0,3.0,6.0,10.0,33.0,73.0,27.0,63.0,60.0,f,f,7,f,Italy,2.0,13.0,7.0,1.0,239.0,1.0,2.0,37.0,63.0,24.0,37.0,12.0,26.0,3.0,6.0,10.0,224.0,23.0,46.0,17.0,27.0,5.0,9.0,9.0,36.0,63.0,40.0,73.0,76.0,t,f,t,Italy
2009-08-31,2009-09-13,Italy,Clay,30000.0,€,2009,andrei-gorban,A. Gorban,treat-huey,T. Huey,como_challenger,2nd Round Qualifying,3.0,f,100,1,01:56:00,179.0,2.0,13.0,12.0,0.0,0.0,237.0,1.0,5.0,66.0,98.0,42.0,66.0,13.0,32.0,10.0,14.0,13.0,177.0,11.0,38.0,25.0,43.0,4.0,7.0,12.0,55.0,98.0,36.0,81.0,91.0,t,f,7,t,Italy,1.0,12.0,13.0,0.0,215.0,3.0,14.0,38.0,81.0,27.0,38.0,18.0,43.0,3.0,7.0,12.0,154.0,24.0,66.0,19.0,32.0,4.0,14.0,13.0,45.0,81.0,43.0,98.0,88.0,f,f,f,Italy
