start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2002-10-28,2002-11-03,Brazil,Clay,75000.0,$,2002,agustin-tarantino,,carlos-berlocq,,sao-paulo_challenger,Round of 32,3.0,f,100,3,,,1.0,12.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Brazil,2.0,16.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Brazil
2002-10-28,2002-11-03,Brazil,Clay,75000.0,$,2002,alexandre-simoni,,hermes-gamonal,,sao-paulo_challenger,Round of 16,2.0,f,100,4,,,0.0,9.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,6,f,Brazil,2.0,13.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Brazil
2002-10-28,2002-11-03,Brazil,Clay,75000.0,$,2002,alexandre-simoni,,sebastian-prieto,,sao-paulo_challenger,Round of 32,2.0,f,100,3,,,2.0,13.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,6,t,Brazil,0.0,10.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Brazil
2002-10-28,2002-11-03,Brazil,Clay,75000.0,$,2002,andre-sa,,andres-dellatorre,,sao-paulo_challenger,Round of 16,3.0,f,100,4,,,1.0,14.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,1,f,Brazil,2.0,15.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Brazil
2002-10-28,2002-11-03,Brazil,Clay,75000.0,$,2002,andre-sa,,jiri-vanek,,sao-paulo_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,1,t,Brazil,0.0,6.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Brazil
2002-10-28,2002-11-03,Brazil,Clay,75000.0,$,2002,andres-dellatorre,,hermes-gamonal,,sao-paulo_challenger,Quarter-Finals,2.0,f,100,5,,,0.0,4.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Brazil,2.0,12.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Brazil
2002-10-28,2002-11-03,Brazil,Clay,75000.0,$,2002,andres-dellatorre,,jan-hajek,,sao-paulo_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Brazil,0.0,6.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Brazil
2002-10-28,2002-11-03,Brazil,Clay,75000.0,$,2002,carlos-berlocq,,franco-squillari,,sao-paulo_challenger,Round of 16,2.0,f,100,4,,,0.0,7.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Brazil,2.0,13.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Brazil
2002-10-28,2002-11-03,Brazil,Clay,75000.0,$,2002,diego-moyano,,juan-pablo-guzman,,sao-paulo_challenger,Round of 32,1.0,f,100,3,,,0.0,2.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,t,,f,Brazil,1.0,6.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,t,Brazil
2002-10-28,2002-11-03,Brazil,Clay,75000.0,$,2002,flavio-saretta,,francisco-costa,,sao-paulo_challenger,Round of 32,3.0,f,100,3,,,1.0,10.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,2,t,Brazil,2.0,13.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Brazil
