start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,alberto-martin,,bohdan-ulihrach,,prostejov_challenger,Round of 16,1.0,f,100,4,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,,Czechia,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,alberto-martin,A. Martin,ivo-minar,I. Minar,prostejov_challenger,Round of 32,3.0,f,100,3,02:04:00,190.0,2.0,15.0,14.0,0.0,0.0,280.0,0.0,2.0,66.0,89.0,47.0,66.0,12.0,23.0,6.0,8.0,14.0,137.0,28.0,75.0,13.0,26.0,3.0,10.0,15.0,59.0,89.0,41.0,101.0,100.0,t,f,,t,Czechia,1.0,14.0,15.0,0.0,274.0,9.0,2.0,75.0,101.0,47.0,75.0,13.0,26.0,7.0,10.0,15.0,116.0,19.0,66.0,11.0,23.0,2.0,8.0,14.0,60.0,101.0,30.0,89.0,90.0,f,f,f,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,bohdan-ulihrach,B. Ulihrach,carlos-berlocq,C. Berlocq,prostejov_challenger,Round of 32,2.0,f,100,3,00:43:00,148.0,2.0,13.0,7.0,0.0,0.0,247.0,2.0,1.0,44.0,85.0,30.0,44.0,19.0,41.0,10.0,12.0,10.0,206.0,19.0,46.0,10.0,17.0,5.0,9.0,10.0,49.0,85.0,29.0,63.0,78.0,t,f,,t,Czechia,0.0,7.0,13.0,0.0,224.0,2.0,1.0,46.0,63.0,27.0,46.0,7.0,17.0,4.0,9.0,10.0,123.0,14.0,44.0,22.0,41.0,2.0,12.0,10.0,34.0,63.0,36.0,85.0,70.0,f,f,f,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,bohdan-ulihrach,B. Ulihrach,christophe-rochus,C. Rochus,prostejov_challenger,Quarter-Finals,2.0,f,100,5,01:19:00,130.0,0.0,7.0,12.0,0.0,0.0,197.0,4.0,5.0,40.0,68.0,25.0,40.0,9.0,28.0,7.0,12.0,9.0,159.0,13.0,42.0,12.0,20.0,3.0,8.0,10.0,34.0,68.0,25.0,62.0,59.0,f,f,,f,Czechia,2.0,12.0,7.0,0.0,245.0,2.0,4.0,42.0,62.0,29.0,42.0,8.0,20.0,5.0,8.0,10.0,203.0,15.0,40.0,19.0,28.0,5.0,12.0,9.0,37.0,62.0,34.0,68.0,71.0,t,f,t,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,christophe-rochus,C. Rochus,igor-andreev,I. Andreev,prostejov_challenger,Round of 16,3.0,f,100,4,02:37:00,239.0,2.0,19.0,16.0,1.0,2.0,271.0,3.0,0.0,53.0,105.0,47.0,53.0,22.0,52.0,4.0,6.0,16.0,131.0,24.0,79.0,29.0,55.0,4.0,16.0,17.0,69.0,105.0,53.0,134.0,122.0,t,f,,f,Czechia,1.0,16.0,19.0,1.0,254.0,8.0,6.0,79.0,134.0,55.0,79.0,26.0,55.0,12.0,16.0,17.0,114.0,6.0,53.0,30.0,52.0,2.0,6.0,16.0,81.0,134.0,36.0,105.0,117.0,f,f,t,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,christophe-rochus,C. Rochus,martin-vassallo-arguello,M. Vassallo Arguello,prostejov_challenger,Semi-Finals,3.0,f,100,6,01:48:00,155.0,1.0,9.0,15.0,0.0,0.0,220.0,0.0,1.0,45.0,77.0,30.0,45.0,12.0,32.0,4.0,9.0,12.0,126.0,15.0,47.0,14.0,31.0,2.0,6.0,12.0,42.0,77.0,29.0,78.0,71.0,f,f,,f,Czechia,2.0,15.0,9.0,0.0,265.0,1.0,2.0,47.0,78.0,32.0,47.0,17.0,31.0,4.0,6.0,12.0,193.0,15.0,45.0,20.0,32.0,5.0,9.0,12.0,49.0,78.0,35.0,77.0,84.0,t,f,t,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,christophe-rochus,C. Rochus,timo-nieminen,T. Nieminen,prostejov_challenger,Round of 32,2.0,f,100,3,01:04:00,92.0,2.0,12.0,3.0,0.0,0.0,304.0,4.0,0.0,31.0,43.0,21.0,31.0,9.0,12.0,1.0,2.0,7.0,263.0,21.0,38.0,8.0,11.0,6.0,10.0,8.0,30.0,43.0,29.0,49.0,59.0,t,f,,t,Czechia,0.0,3.0,12.0,0.0,173.0,1.0,3.0,38.0,49.0,17.0,38.0,3.0,11.0,4.0,10.0,8.0,121.0,10.0,31.0,3.0,12.0,1.0,2.0,7.0,20.0,49.0,13.0,43.0,33.0,f,f,f,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,denis-gremelmayr,D. Gremelmayr,vincent-spadea,V. Spadea,prostejov_challenger,Round of 32,3.0,f,100,3,02:20:00,217.0,1.0,13.0,18.0,1.0,1.0,215.0,3.0,10.0,81.0,119.0,45.0,81.0,17.0,38.0,10.0,17.0,15.0,173.0,25.0,65.0,14.0,33.0,4.0,6.0,15.0,62.0,119.0,39.0,98.0,101.0,f,f,6,f,Czechia,2.0,18.0,13.0,0.0,262.0,5.0,2.0,65.0,98.0,40.0,65.0,19.0,33.0,2.0,6.0,15.0,186.0,36.0,81.0,21.0,38.0,7.0,17.0,15.0,59.0,98.0,57.0,119.0,116.0,t,f,t,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,dominik-hrbaty,D. Hrbaty,rik-de-voest,R. De Voest,prostejov_challenger,Round of 32,3.0,f,100,3,02:08:00,192.0,1.0,14.0,13.0,0.0,1.0,248.0,3.0,4.0,58.0,101.0,40.0,58.0,20.0,43.0,7.0,10.0,13.0,156.0,24.0,59.0,13.0,32.0,4.0,9.0,13.0,60.0,101.0,37.0,91.0,97.0,f,f,WC,f,Czechia,2.0,13.0,14.0,1.0,256.0,4.0,0.0,59.0,91.0,35.0,59.0,19.0,32.0,5.0,9.0,13.0,137.0,18.0,58.0,23.0,43.0,3.0,10.0,13.0,54.0,91.0,41.0,101.0,95.0,t,f,t,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,dusan-lojda,,roman-jebavy,,prostejov_challenger,1st Round Qualifying,3.0,f,100,0,,,1.0,12.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Czechia,2.0,15.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,emanuel-rehola,,jaroslav-pospisil,,prostejov_challenger,1st Round Qualifying,2.0,f,100,0,,,0.0,5.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,WC,f,Czechia,2.0,12.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,filip-polasek,,jiri-kosler,,prostejov_challenger,2nd Round Qualifying,2.0,f,100,1,,,2.0,13.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Czechia,0.0,8.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,filip-polasek,,nicolas-todero,,prostejov_challenger,1st Round Qualifying,2.0,f,100,0,,,2.0,12.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Czechia,0.0,5.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,filip-polasek,,pavol-cervenak,,prostejov_challenger,3rd Round Qualifying,2.0,f,100,2,,,0.0,5.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Czechia,2.0,12.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,flavio-cipolla,F. Cipolla,jiri-vanek,J. Vanek,prostejov_challenger,Round of 32,3.0,f,100,3,01:50:00,160.0,2.0,13.0,12.0,0.0,0.0,242.0,0.0,3.0,57.0,85.0,36.0,57.0,13.0,28.0,5.0,9.0,13.0,166.0,17.0,48.0,13.0,27.0,4.0,8.0,12.0,49.0,85.0,30.0,75.0,79.0,t,f,,t,Czechia,1.0,12.0,13.0,0.0,247.0,2.0,2.0,48.0,75.0,31.0,48.0,14.0,27.0,4.0,8.0,12.0,165.0,21.0,57.0,15.0,28.0,4.0,9.0,13.0,45.0,75.0,36.0,85.0,81.0,f,f,f,Czechia
2008-06-02,2008-06-08,Czechia,Clay,127500.0,€,2008,flavio-cipolla,F. Cipolla,marin-cilic,M. Cilic,prostejov_challenger,Round of 16,2.0,f,100,4,01:54:00,152.0,2.0,13.0,10.0,1.0,1.0,320.0,0.0,3.0,59.0,76.0,41.0,59.0,13.0,17.0,4.0,4.0,11.0,94.0,12.0,47.0,13.0,29.0,1.0,7.0,11.0,54.0,76.0,25.0,76.0,79.0,t,f,,t,Czechia,0.0,10.0,13.0,0.0,282.0,2.0,1.0,47.0,76.0,35.0,47.0,16.0,29.0,6.0,7.0,11.0,55.0,18.0,59.0,4.0,17.0,0.0,4.0,11.0,51.0,76.0,22.0,76.0,73.0,f,f,f,Czechia
