,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,agustin-calleri,A. Calleri,james-blake,J. Blake,madrid,Round of 64,2.0,f,1000,2,01:14:00,112.0,2.0,12.0,6.0,0.0,0.0,281.0,6.0,1.0,32.0,59.0,25.0,32.0,15.0,27.0,4.0,5.0,9.0,182.0,11.0,25.0,15.0,28.0,4.0,10.0,9.0,40.0,59.0,26.0,53.0,66.0,t,f,Q,t,Spain,0.0,6.0,12.0,0.0,202.0,1.0,3.0,25.0,53.0,14.0,25.0,13.0,28.0,6.0,10.0,9.0,97.0,7.0,32.0,12.0,27.0,1.0,5.0,9.0,27.0,53.0,19.0,59.0,46.0,f,f,f,Spain
1,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,agustin-calleri,A. Calleri,marat-safin,M. Safin,madrid,Round of 32,2.0,f,1000,3,02:07:00,178.0,2.0,14.0,12.0,2.0,2.0,264.0,8.0,5.0,55.0,95.0,45.0,55.0,15.0,40.0,1.0,3.0,12.0,140.0,10.0,40.0,21.0,43.0,2.0,4.0,12.0,60.0,95.0,31.0,83.0,91.0,t,f,Q,t,Spain,0.0,12.0,14.0,0.0,261.0,6.0,2.0,40.0,83.0,30.0,40.0,22.0,43.0,2.0,4.0,12.0,164.0,10.0,55.0,25.0,40.0,2.0,3.0,12.0,52.0,83.0,35.0,95.0,87.0,f,f,f,Spain
2,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,agustin-calleri,A. Calleri,sebastien-grosjean,S. Grosjean,madrid,Quarter-Finals,2.0,f,1000,5,01:34:00,130.0,0.0,9.0,13.0,0.0,1.0,269.0,5.0,1.0,36.0,62.0,29.0,36.0,12.0,26.0,2.0,4.0,10.0,179.0,7.0,39.0,15.0,29.0,1.0,1.0,11.0,41.0,62.0,22.0,68.0,63.0,f,f,Q,f,Spain,2.0,13.0,9.0,1.0,280.0,6.0,3.0,39.0,68.0,32.0,39.0,14.0,29.0,0.0,1.0,11.0,143.0,7.0,36.0,14.0,26.0,2.0,4.0,10.0,46.0,68.0,21.0,62.0,67.0,t,f,t,Spain
3,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,agustin-calleri,A. Calleri,thomas-johansson,T. Johansson,madrid,Round of 16,2.0,f,1000,4,01:16:00,116.0,2.0,12.0,8.0,0.0,0.0,313.0,8.0,3.0,30.0,53.0,27.0,30.0,14.0,23.0,3.0,3.0,10.0,156.0,5.0,28.0,18.0,35.0,2.0,3.0,10.0,41.0,53.0,23.0,63.0,64.0,t,f,Q,t,Spain,0.0,8.0,12.0,0.0,262.0,12.0,5.0,28.0,63.0,23.0,28.0,17.0,35.0,1.0,3.0,10.0,49.0,3.0,30.0,9.0,23.0,0.0,3.0,10.0,40.0,63.0,12.0,53.0,52.0,f,f,f,Spain
4,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,alex-corretja,A. Corretja,fernando-vicente,F. Vicente,madrid,Round of 64,2.0,f,1000,2,01:47:00,151.0,2.0,13.0,9.0,0.0,0.0,265.0,9.0,3.0,34.0,70.0,26.0,34.0,19.0,36.0,8.0,10.0,11.0,162.0,18.0,45.0,18.0,36.0,4.0,11.0,11.0,45.0,70.0,36.0,81.0,81.0,t,f,,t,Spain,0.0,9.0,13.0,0.0,233.0,8.0,4.0,45.0,81.0,27.0,45.0,18.0,36.0,7.0,11.0,11.0,107.0,8.0,36.0,17.0,36.0,2.0,10.0,11.0,45.0,81.0,25.0,72.0,70.0,f,f,f,Spain
5,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,alex-corretja,A. Corretja,juan-carlos-ferrero,J. Ferrero,madrid,Round of 16,3.0,f,1000,4,01:46:00,140.0,1.0,7.0,15.0,0.0,0.0,186.0,3.0,4.0,32.0,75.0,19.0,32.0,17.0,43.0,6.0,12.0,11.0,138.0,10.0,32.0,13.0,33.0,2.0,4.0,11.0,36.0,75.0,23.0,65.0,59.0,f,f,,t,Spain,2.0,15.0,7.0,0.0,261.0,3.0,2.0,32.0,65.0,22.0,32.0,20.0,33.0,2.0,4.0,11.0,205.0,13.0,32.0,26.0,43.0,6.0,12.0,11.0,42.0,65.0,39.0,75.0,81.0,t,f,f,Spain
6,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,alex-corretja,A. Corretja,yevgeny-kafelnikov,Y. Kafelnikov,madrid,Round of 32,3.0,f,1000,3,01:46:00,157.0,2.0,15.0,13.0,0.0,0.0,264.0,12.0,5.0,43.0,83.0,32.0,43.0,21.0,40.0,4.0,7.0,14.0,160.0,10.0,39.0,17.0,35.0,4.0,7.0,14.0,53.0,83.0,27.0,74.0,80.0,t,f,,f,Spain,1.0,13.0,15.0,0.0,254.0,11.0,6.0,39.0,74.0,29.0,39.0,18.0,35.0,3.0,7.0,14.0,138.0,11.0,43.0,19.0,40.0,3.0,7.0,14.0,47.0,74.0,30.0,83.0,77.0,f,f,t,Spain
7,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,andre-agassi,A. Agassi,feliciano-lopez,F. Lopez,madrid,Round of 16,3.0,f,1000,4,02:23:00,231.0,2.0,20.0,18.0,1.0,2.0,313.0,7.0,5.0,70.0,113.0,55.0,70.0,30.0,43.0,0.0,0.0,18.0,167.0,9.0,64.0,26.0,54.0,1.0,1.0,18.0,85.0,113.0,35.0,118.0,120.0,t,f,2,t,Spain,1.0,18.0,20.0,1.0,299.0,19.0,6.0,64.0,118.0,55.0,64.0,28.0,54.0,0.0,1.0,18.0,51.0,15.0,70.0,13.0,43.0,0.0,0.0,18.0,83.0,118.0,28.0,113.0,111.0,f,f,f,Spain
8,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,andre-agassi,A. Agassi,jan-michael-gambill,J. Gambill,madrid,Round of 32,2.0,f,1000,3,01:25:00,125.0,2.0,12.0,8.0,0.0,0.0,334.0,6.0,0.0,40.0,57.0,28.0,40.0,15.0,17.0,1.0,1.0,10.0,136.0,7.0,37.0,21.0,31.0,2.0,7.0,10.0,43.0,57.0,28.0,68.0,71.0,t,f,2,t,Spain,0.0,8.0,12.0,0.0,258.0,13.0,2.0,37.0,68.0,30.0,37.0,10.0,31.0,5.0,7.0,10.0,42.0,12.0,40.0,2.0,17.0,0.0,1.0,10.0,40.0,68.0,14.0,57.0,54.0,f,f,f,Spain
9,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,andre-agassi,,jiri-novak,,madrid,Finals,1.0,f,1000,7,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,2,,Spain,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,Spain
10,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,andre-agassi,A. Agassi,juan-carlos-ferrero,J. Ferrero,madrid,Quarter-Finals,2.0,f,1000,5,01:14:00,112.0,2.0,12.0,5.0,0.0,0.0,280.0,5.0,1.0,38.0,55.0,32.0,38.0,6.0,17.0,0.0,1.0,9.0,208.0,13.0,27.0,16.0,30.0,4.0,7.0,8.0,38.0,55.0,29.0,57.0,67.0,t,f,2,t,Spain,0.0,5.0,12.0,0.0,197.0,2.0,1.0,27.0,57.0,14.0,27.0,14.0,30.0,3.0,7.0,8.0,192.0,6.0,38.0,11.0,17.0,1.0,1.0,9.0,28.0,57.0,17.0,55.0,45.0,f,f,f,Spain
11,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,andre-agassi,A. Agassi,sebastien-grosjean,S. Grosjean,madrid,Semi-Finals,3.0,f,1000,6,01:40:00,158.0,2.0,15.0,14.0,0.0,0.0,311.0,4.0,2.0,51.0,69.0,40.0,51.0,13.0,18.0,0.0,2.0,14.0,152.0,12.0,56.0,20.0,33.0,3.0,6.0,15.0,53.0,69.0,32.0,89.0,85.0,t,f,2,t,Spain,1.0,14.0,15.0,0.0,280.0,19.0,0.0,56.0,89.0,44.0,56.0,13.0,33.0,3.0,6.0,15.0,164.0,11.0,51.0,5.0,18.0,2.0,2.0,14.0,57.0,89.0,16.0,69.0,73.0,f,f,f,Spain
12,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,andrei-pavel,A. Pavel,jan-michael-gambill,J. Gambill,madrid,Round of 64,2.0,f,1000,2,01:40:00,147.0,0.0,9.0,13.0,0.0,1.0,244.0,6.0,2.0,47.0,73.0,31.0,47.0,10.0,26.0,6.0,9.0,11.0,96.0,7.0,34.0,18.0,40.0,1.0,5.0,10.0,41.0,73.0,25.0,74.0,66.0,f,f,,f,Spain,2.0,13.0,9.0,1.0,282.0,12.0,0.0,34.0,74.0,27.0,34.0,22.0,40.0,4.0,5.0,10.0,156.0,16.0,47.0,16.0,26.0,3.0,9.0,11.0,49.0,74.0,32.0,73.0,81.0,t,f,t,Spain
13,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,andre-sa,A. Sa,fernando-gonzalez,F. Gonzalez,madrid,Round of 64,2.0,f,1000,2,01:06:00,110.0,0.0,5.0,12.0,0.0,0.0,219.0,0.0,4.0,30.0,55.0,21.0,30.0,9.0,25.0,3.0,6.0,8.0,56.0,5.0,33.0,9.0,22.0,0.0,1.0,9.0,30.0,55.0,14.0,55.0,44.0,f,f,Q,f,Spain,2.0,12.0,5.0,0.0,313.0,12.0,3.0,33.0,55.0,28.0,33.0,13.0,22.0,1.0,1.0,9.0,181.0,9.0,30.0,16.0,25.0,3.0,6.0,8.0,41.0,55.0,25.0,55.0,66.0,t,f,t,Spain
14,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,andy-roddick,A. Roddick,mikhail-youzhny,M. Youzhny,madrid,Round of 32,2.0,f,1000,3,01:08:00,118.0,0.0,7.0,12.0,0.0,0.0,265.0,6.0,2.0,36.0,54.0,28.0,36.0,7.0,18.0,4.0,6.0,9.0,68.0,7.0,43.0,11.0,21.0,0.0,1.0,10.0,35.0,54.0,18.0,64.0,53.0,f,f,10,f,Spain,2.0,12.0,7.0,0.0,300.0,2.0,1.0,43.0,64.0,36.0,43.0,10.0,21.0,1.0,1.0,10.0,138.0,8.0,36.0,11.0,18.0,2.0,6.0,9.0,46.0,64.0,19.0,54.0,65.0,t,f,t,Spain
15,2002-10-14,2002-10-20,Spain,Clay,2328000.0,$,2002,arnaud-clement,A. Clement,feliciano-lopez,F. Lopez,madrid,Round of 64,3.0,f,1000,2,01:58:00,181.0,1.0,16.0,16.0,0.0,1.0,276.0,7.0,5.0,47.0,88.0,35.0,47.0,25.0,41.0,4.0,6.0,15.0,142.0,8.0,54.0,23.0,39.0,3.0,6.0,16.0,60.0,88.0,31.0,93.0,91.0,f,f,,f,Spain,2.0,16.0,16.0,1.0,275.0,17.0,7.0,54.0,93.0,46.0,54.0,16.0,39.0,3.0,6.0,16.0,111.0,12.0,47.0,16.0,41.0,2.0,6.0,15.0,62.0,93.0,28.0,88.0,90.0,t,f,t,Spain
