start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,robby-ginepri,R. Ginepri,brendan-evans,B. Evans,newport,Round of 16,2.0,f,250,4,00:59:00,124.0,0.0,7.0,12.0,0.0,0.0,252.0,2.0,1.0,41.0,58.0,25.0,41.0,9.0,17.0,2.0,5.0,9.0,111.0,10.0,44.0,10.0,22.0,1.0,3.0,10.0,34.0,58.0,20.0,66.0,54.0,f,f,,f,USA,2.0,12.0,7.0,0.0,293.0,5.0,1.0,44.0,66.0,34.0,44.0,12.0,22.0,2.0,3.0,10.0,179.0,16.0,41.0,8.0,17.0,3.0,5.0,9.0,46.0,66.0,24.0,58.0,70.0,t,f,t,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,aisam-ul-haq-qureshi,A. Qureshi,andrea-stoppini,A. Stoppini,newport,2nd Round Qualifying,2.0,f,250,1,02:09:00,182.0,1.0,13.0,13.0,1.0,2.0,266.0,16.0,7.0,65.0,103.0,50.0,65.0,13.0,38.0,5.0,7.0,12.0,128.0,8.0,43.0,19.0,36.0,2.0,5.0,12.0,63.0,103.0,27.0,79.0,90.0,f,t,,t,USA,1.0,13.0,13.0,1.0,265.0,4.0,4.0,43.0,79.0,35.0,43.0,17.0,36.0,3.0,5.0,12.0,134.0,15.0,65.0,25.0,38.0,2.0,7.0,12.0,52.0,79.0,40.0,103.0,92.0,t,t,f,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,aisam-ul-haq-qureshi,A. Qureshi,scott-lipsky,S. Lipsky,newport,1st Round Qualifying,2.0,f,250,0,01:17:00,132.0,2.0,13.0,9.0,1.0,1.0,315.0,17.0,3.0,44.0,68.0,38.0,44.0,12.0,24.0,1.0,1.0,11.0,117.0,10.0,31.0,14.0,33.0,1.0,3.0,10.0,50.0,68.0,24.0,64.0,74.0,t,f,,t,USA,0.0,9.0,13.0,0.0,268.0,7.0,3.0,31.0,64.0,21.0,31.0,19.0,33.0,2.0,3.0,10.0,64.0,6.0,44.0,12.0,24.0,0.0,1.0,11.0,40.0,64.0,18.0,68.0,58.0,f,f,f,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,alejandro-falla,A. Falla,andrea-stoppini,A. Stoppini,newport,3rd Round Qualifying,3.0,f,250,2,01:49:00,184.0,2.0,17.0,12.0,1.0,1.0,252.0,3.0,5.0,44.0,86.0,34.0,44.0,20.0,42.0,1.0,4.0,14.0,160.0,17.0,55.0,25.0,43.0,5.0,14.0,14.0,54.0,86.0,42.0,98.0,96.0,t,f,5,f,USA,1.0,12.0,17.0,0.0,232.0,7.0,6.0,55.0,98.0,38.0,55.0,18.0,43.0,9.0,14.0,14.0,171.0,10.0,44.0,22.0,42.0,3.0,4.0,14.0,56.0,98.0,32.0,86.0,88.0,f,f,t,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,alejandro-falla,A. Falla,nathan-thompson,N. Thompson,newport,2nd Round Qualifying,2.0,f,250,1,01:36:00,165.0,2.0,13.0,7.0,0.0,0.0,247.0,4.0,6.0,52.0,95.0,30.0,52.0,24.0,43.0,17.0,19.0,10.0,213.0,18.0,39.0,19.0,31.0,5.0,9.0,10.0,54.0,95.0,37.0,70.0,91.0,t,f,5,t,USA,0.0,7.0,13.0,0.0,197.0,7.0,9.0,39.0,70.0,21.0,39.0,12.0,31.0,4.0,9.0,10.0,117.0,22.0,52.0,19.0,43.0,2.0,19.0,10.0,33.0,70.0,41.0,95.0,74.0,f,f,f,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,alejandro-falla,A. Falla,rajeev-ram,R. Ram,newport,Round of 32,2.0,f,250,3,01:12:00,135.0,0.0,9.0,13.0,0.0,0.0,258.0,3.0,7.0,45.0,75.0,35.0,45.0,13.0,30.0,3.0,5.0,11.0,58.0,5.0,40.0,9.0,20.0,0.0,0.0,11.0,48.0,75.0,14.0,60.0,62.0,f,f,Q,f,USA,2.0,13.0,9.0,0.0,316.0,6.0,0.0,40.0,60.0,35.0,40.0,11.0,20.0,0.0,0.0,11.0,137.0,10.0,45.0,17.0,30.0,2.0,5.0,11.0,46.0,60.0,27.0,75.0,73.0,t,f,t,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,alexander-peya,A. Peya,go-soeda,G. Soeda,newport,3rd Round Qualifying,2.0,f,250,2,01:07:00,119.0,2.0,12.0,4.0,0.0,0.0,288.0,2.0,2.0,27.0,55.0,24.0,27.0,14.0,28.0,4.0,4.0,8.0,195.0,20.0,41.0,12.0,23.0,4.0,9.0,8.0,38.0,55.0,32.0,64.0,70.0,t,f,8,t,USA,0.0,4.0,12.0,0.0,212.0,1.0,2.0,41.0,64.0,21.0,41.0,11.0,23.0,5.0,9.0,8.0,61.0,3.0,27.0,14.0,28.0,0.0,4.0,8.0,32.0,64.0,17.0,55.0,49.0,f,f,f,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,alexander-peya,A. Peya,izak-van-der-merwe,I. Van der Merwe,newport,2nd Round Qualifying,2.0,f,250,1,00:54:00,102.0,2.0,12.0,7.0,0.0,0.0,314.0,9.0,1.0,33.0,56.0,27.0,33.0,15.0,23.0,1.0,1.0,10.0,177.0,13.0,34.0,2.0,12.0,2.0,2.0,9.0,42.0,56.0,15.0,46.0,57.0,t,f,8,t,USA,0.0,7.0,12.0,0.0,300.0,4.0,0.0,34.0,46.0,21.0,34.0,10.0,12.0,0.0,2.0,9.0,53.0,6.0,33.0,8.0,23.0,0.0,1.0,10.0,31.0,46.0,14.0,56.0,45.0,f,f,f,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,alexander-peya,A. Peya,matt-reid,M. Reid,newport,1st Round Qualifying,3.0,f,250,0,01:43:00,180.0,2.0,18.0,11.0,0.0,1.0,281.0,11.0,5.0,52.0,90.0,37.0,52.0,23.0,38.0,4.0,6.0,14.0,215.0,18.0,48.0,25.0,42.0,6.0,8.0,14.0,60.0,90.0,43.0,90.0,103.0,t,f,8,f,USA,1.0,11.0,18.0,1.0,212.0,3.0,4.0,48.0,90.0,30.0,48.0,17.0,42.0,2.0,8.0,14.0,115.0,15.0,52.0,15.0,38.0,2.0,6.0,14.0,47.0,90.0,30.0,90.0,77.0,f,f,t,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,alexander-peya,A. Peya,olivier-rochus,O. Rochus,newport,Round of 32,3.0,f,250,3,01:43:00,179.0,1.0,12.0,16.0,0.0,0.0,248.0,3.0,1.0,50.0,85.0,35.0,50.0,16.0,35.0,1.0,5.0,14.0,118.0,17.0,55.0,17.0,39.0,2.0,7.0,14.0,51.0,85.0,34.0,94.0,85.0,f,f,Q,f,USA,2.0,16.0,12.0,0.0,266.0,0.0,3.0,55.0,94.0,38.0,55.0,22.0,39.0,5.0,7.0,14.0,192.0,15.0,50.0,19.0,35.0,4.0,5.0,14.0,60.0,94.0,34.0,85.0,94.0,t,f,t,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,alex-bogomolov-jr.,A. Bogomolov Jr.,arnaud-clement,A. Clement,newport,Round of 32,3.0,f,250,3,01:55:00,162.0,2.0,13.0,13.0,0.0,0.0,246.0,0.0,3.0,42.0,72.0,26.0,42.0,18.0,30.0,4.0,8.0,13.0,155.0,17.0,43.0,21.0,47.0,4.0,10.0,13.0,44.0,72.0,38.0,90.0,82.0,t,f,,f,USA,1.0,13.0,13.0,0.0,226.0,2.0,8.0,43.0,90.0,26.0,43.0,26.0,47.0,6.0,10.0,13.0,158.0,16.0,42.0,12.0,30.0,4.0,8.0,13.0,52.0,90.0,28.0,72.0,80.0,f,f,t,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,alex-bogomolov-jr.,A. Bogomolov Jr.,nicolas-mahut,N. Mahut,newport,Round of 16,2.0,f,250,4,00:52:00,96.0,0.0,4.0,12.0,0.0,0.0,185.0,0.0,3.0,35.0,54.0,17.0,35.0,7.0,19.0,2.0,7.0,8.0,171.0,4.0,26.0,7.0,16.0,1.0,1.0,8.0,24.0,54.0,11.0,42.0,35.0,f,f,,f,USA,2.0,12.0,4.0,0.0,300.0,12.0,2.0,26.0,42.0,22.0,26.0,9.0,16.0,0.0,1.0,8.0,247.0,18.0,35.0,12.0,19.0,5.0,7.0,8.0,31.0,42.0,30.0,54.0,61.0,t,f,t,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,amer-delic,A. Delic,nicolas-mahut,N. Mahut,newport,Round of 32,2.0,f,250,3,01:05:00,110.0,0.0,8.0,12.0,0.0,0.0,268.0,6.0,4.0,40.0,61.0,27.0,40.0,11.0,21.0,2.0,4.0,10.0,42.0,2.0,29.0,7.0,20.0,0.0,0.0,10.0,38.0,61.0,9.0,49.0,47.0,f,f,,f,USA,2.0,12.0,8.0,0.0,320.0,8.0,5.0,29.0,49.0,27.0,29.0,13.0,20.0,0.0,0.0,10.0,151.0,13.0,40.0,10.0,21.0,2.0,4.0,10.0,40.0,49.0,23.0,61.0,63.0,t,f,t,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,artem-sitak,A. Sitak,jamie-gresh,J. Gresh,newport,1st Round Qualifying,2.0,f,250,0,01:20:00,109.0,2.0,12.0,7.0,0.0,0.0,271.0,6.0,4.0,32.0,58.0,27.0,32.0,11.0,26.0,4.0,5.0,9.0,234.0,8.0,28.0,15.0,23.0,4.0,4.0,10.0,38.0,58.0,23.0,51.0,61.0,t,f,,t,USA,0.0,7.0,12.0,0.0,215.0,0.0,6.0,28.0,51.0,20.0,28.0,8.0,23.0,0.0,4.0,10.0,105.0,5.0,32.0,15.0,26.0,1.0,5.0,9.0,28.0,51.0,20.0,58.0,48.0,f,f,f,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,artem-sitak,A. Sitak,simon-stadler,S. Stadler,newport,2nd Round Qualifying,2.0,f,250,1,00:44:00,86.0,0.0,3.0,12.0,0.0,0.0,142.0,2.0,7.0,18.0,45.0,12.0,18.0,4.0,27.0,2.0,8.0,8.0,139.0,11.0,34.0,3.0,7.0,1.0,2.0,7.0,16.0,45.0,14.0,41.0,30.0,f,f,,f,USA,2.0,12.0,3.0,0.0,293.0,0.0,0.0,34.0,41.0,23.0,34.0,4.0,7.0,1.0,2.0,7.0,268.0,6.0,18.0,23.0,27.0,6.0,8.0,8.0,27.0,41.0,29.0,45.0,56.0,t,f,t,USA
2009-07-06,2009-07-12,USA,Grass,442500.0,$,2009,benjamin-becker,B. Becker,brendan-evans,B. Evans,newport,Round of 32,3.0,f,250,3,01:54:00,211.0,1.0,17.0,17.0,0.0,1.0,279.0,12.0,10.0,58.0,106.0,44.0,58.0,28.0,48.0,4.0,6.0,17.0,106.0,20.0,74.0,13.0,31.0,2.0,8.0,16.0,72.0,106.0,33.0,105.0,105.0,f,f,4,f,USA,2.0,17.0,17.0,1.0,297.0,10.0,1.0,74.0,105.0,54.0,74.0,18.0,31.0,6.0,8.0,16.0,110.0,14.0,58.0,20.0,48.0,2.0,6.0,17.0,72.0,105.0,34.0,106.0,106.0,t,f,t,USA
